num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1605	60370.853101	70.010906	-2.858932	3.750778	125.285435
1607	60372.931987	65.042198	-3.007429	3.765375	132.600017
1609	60375.000391	60.654363	-3.030479	3.746420	92.420259
1611	60377.069408	54.997098	-2.629080	3.740360	94.577006
1613	60379.152908	50.133159	-2.556470	3.750940	74.108546
1615	60381.232461	46.046510	-2.645053	3.758111	62.431571
1617	60383.303051	42.592060	-2.518878	3.750167	50.623563
1619	60385.368046	38.909988	-2.279498	3.740856	44.284618
1621	60387.436626	35.375924	-2.090198	3.738307	36.388458
1623	60389.507836	32.136841	-1.936310	3.736735	30.090783
1625	60391.580595	29.343343	-1.798994	3.738311	24.550951
1627	60393.655017	26.690552	-1.652728	3.738923	21.865367
1629	60395.734467	24.026358	-1.510275	3.736631	17.733198
1631	60397.821099	21.769259	-1.378571	3.727585	14.967441
1633	60399.911015	19.664096	-1.205021	3.710188	12.272965
1635	60401.990369	18.137307	-1.028482	3.696626	9.317415
1637	60404.039623	16.784323	-0.968463	3.732947	7.839388
1639	60406.097533	14.890675	-1.036287	3.768664	6.615415
1641	60408.204143	12.980158	-0.968570	3.718990	5.208712
1643	60410.314539	11.902215	-0.567876	3.664283	4.233344
1645	60412.349108	11.955777	-0.503574	3.734597	3.618762
1647	60414.400085	9.916799	-0.797921	3.785365	2.352878
1649	60417.326647	0.000000	-0.598516	4.436761	2.291153
1651	60421.534959	0.997581	0.328651	4.774633	1.729944
