crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	64.322914	4040	0.000000
281474976710655.000000	102.518082	4041	0.000000
281474976710655.000000	122.710846	4042	0.000000
281474976710655.000000	126.456978	4043	0.000000
281474976710655.000000	102.275063	4044	0.000000
281474976710655.000000	92.974960	4045	0.000000
281474976710655.000000	118.137947	4046	0.000000
281474976710655.000000	98.410042	4047	0.000000
281474976710655.000000	106.744408	4048	0.000000
281474976710655.000000	51.826073	4049	0.000000
281474976710655.000000	90.921806	4050	0.000000
281474976710655.000000	87.290184	4051	0.000000
281474976710655.000000	91.582985	4052	0.000000
281474976710655.000000	Inf	4053	0.000000
281474976710655.000000	97.199684	4054	0.000000
281474976710655.000000	195.023911	4055	0.000000
281474976710655.000000	56.519939	4056	0.000000
281474976710655.000000	82.949310	4057	0.000000
281474976710655.000000	86.808556	4058	0.000000
281474976710655.000000	87.249153	4059	0.000000
281474976710655.000000	88.409966	4060	0.000000
281474976710655.000000	84.337692	4061	0.000000
281474976710655.000000	39.171921	4062	0.000000
281474976710655.000000	83.495636	4063	0.000000
281474976710655.000000	54.526676	4064	0.000000
281474976710655.000000	54.012791	4065	0.000000
281474976710655.000000	35.554386	4066	0.000000
281474976710655.000000	39.874523	4067	0.000000
281474976710655.000000	48.063068	4068	0.000000
281474976710655.000000	75.283928	4069	0.000000
281474976710655.000000	49.128780	4070	0.000000
281474976710655.000000	35.477013	4071	0.000000
281474976710655.000000	72.931999	4072	0.000000
281474976710655.000000	77.176910	4073	0.000000
281474976710655.000000	30.632967	4074	0.000000
281474976710655.000000	67.091072	4075	0.000000
281474976710655.000000	68.435928	4076	0.000000
281474976710655.000000	68.964371	4077	0.000000
281474976710655.000000	61.429981	4078	0.000000
281474976710655.000000	59.892712	4079	0.000000
281474976710655.000000	107.069153	4080	0.000000
281474976710655.000000	65.186714	4081	0.000000
281474976710655.000000	67.370560	4082	0.000000
281474976710655.000000	62.687580	4083	0.000000
281474976710655.000000	48.614925	4084	0.000000
281474976710655.000000	56.455605	4085	0.000000
281474976710655.000000	58.977627	4086	0.000000
281474976710655.000000	64.698677	4087	0.000000
281474976710655.000000	57.743195	4088	0.000000
281474976710655.000000	57.869606	4089	0.000000
281474976710655.000000	40.666283	4090	0.000000
281474976710655.000000	53.662716	4091	0.000000
281474976710655.000000	40.773769	4092	0.000000
281474976710655.000000	52.679585	4093	0.000000
281474976710655.000000	48.685661	4094	0.000000
281474976710655.000000	49.917187	4095	0.000000
281474976710655.000000	37.981937	4096	0.000000
281474976710655.000000	58.499565	4097	0.000000
281474976710655.000000	39.475479	4098	0.000000
281474976710655.000000	39.885136	4099	0.000000
281474976710655.000000	38.121258	4100	0.000000
281474976710655.000000	50.691647	4101	0.000000
281474976710655.000000	46.677227	4102	0.000000
281474976710655.000000	42.531311	4103	0.000000
281474976710655.000000	38.907654	4104	0.000000
281474976710655.000000	48.214931	4105	0.000000
281474976710655.000000	36.991669	4106	0.000000
281474976710655.000000	43.653976	4107	0.000000
281474976710655.000000	41.012619	4108	0.000000
281474976710655.000000	35.475670	4109	0.000000
281474976710655.000000	32.473412	4110	0.000000
281474976710655.000000	33.072334	4111	0.000000
281474976710655.000000	32.066223	4112	0.000000
281474976710655.000000	42.321873	4113	0.000000
281474976710655.000000	31.132772	4114	0.000000
281474976710655.000000	35.123039	4115	0.000000
281474976710655.000000	36.061932	4116	0.000000
281474976710655.000000	39.074760	4117	0.000000
281474976710655.000000	40.966385	4118	0.000000
281474976710655.000000	40.016418	4119	0.000000
281474976710655.000000	32.891918	4120	0.000000
281474976710655.000000	34.167297	4121	0.000000
281474976710655.000000	26.990934	4122	0.000000
281474976710655.000000	28.826782	4123	0.000000
281474976710655.000000	28.117247	4124	0.000000
281474976710655.000000	28.706062	4125	0.000000
281474976710655.000000	25.240314	4126	0.000000
281474976710655.000000	31.641293	4127	0.000000
281474976710655.000000	28.251320	4128	0.000000
281474976710655.000000	29.223402	4129	0.000000
281474976710655.000000	27.956337	4130	0.000000
281474976710655.000000	26.046495	4131	0.000000
281474976710655.000000	32.015953	4132	0.000000
281474976710655.000000	23.310919	4133	0.000000
281474976710655.000000	26.743868	4134	0.000000
281474976710655.000000	25.584560	4135	0.000000
281474976710655.000000	21.999140	4136	0.000000
281474976710655.000000	26.608871	4137	0.000000
281474976710655.000000	23.049513	4138	0.000000
281474976710655.000000	22.883022	4139	0.000000
281474976710655.000000	23.787333	4140	0.000000
281474976710655.000000	22.064653	4141	0.000000
281474976710655.000000	19.934772	4142	0.000000
281474976710655.000000	18.466646	4143	0.000000
281474976710655.000000	22.257790	4144	0.000000
281474976710655.000000	20.749573	4145	0.000000
281474976710655.000000	20.046772	4146	0.000000
281474976710655.000000	20.069866	4147	0.000000
281474976710655.000000	20.174898	4148	0.000000
281474976710655.000000	19.565670	4149	0.000000
281474976710655.000000	19.832895	4150	0.000000
281474976710655.000000	17.868567	4151	0.000000
281474976710655.000000	17.782999	4152	0.000000
281474976710655.000000	18.046169	4153	0.000000
281474976710655.000000	17.150291	4154	0.000000
281474976710655.000000	18.297268	4155	0.000000
281474976710655.000000	17.372868	4156	0.000000
281474976710655.000000	18.131048	4157	0.000000
281474976710655.000000	15.791620	4158	0.000000
281474976710655.000000	16.606945	4159	0.000000
281474976710655.000000	16.364670	4160	0.000000
281474976710655.000000	16.795443	4161	0.000000
281474976710655.000000	16.073059	4162	0.000000
281474976710655.000000	14.458845	4163	0.000000
281474976710655.000000	14.075805	4164	0.000000
281474976710655.000000	14.638380	4165	0.000000
281474976710655.000000	13.879841	4166	0.000000
281474976710655.000000	14.401788	4167	0.000000
281474976710655.000000	14.558699	4168	0.000000
281474976710655.000000	15.114808	4169	0.000000
281474976710655.000000	13.421394	4170	0.000000
281474976710655.000000	14.619207	4171	0.000000
281474976710655.000000	12.935566	4172	0.000000
281474976710655.000000	14.105864	4173	0.000000
281474976710655.000000	12.983464	4174	0.000000
281474976710655.000000	12.221650	4175	0.000000
281474976710655.000000	12.376599	4176	0.000000
281474976710655.000000	12.367012	4177	0.000000
281474976710655.000000	11.115211	4178	0.000000
281474976710655.000000	9.478865	4179	0.000000
281474976710655.000000	12.250255	4180	0.000000
281474976710655.000000	12.949218	4181	0.000000
281474976710655.000000	10.439663	4182	0.000000
281474976710655.000000	11.415183	4183	0.000000
281474976710655.000000	9.780260	4184	0.000000
281474976710655.000000	10.733902	4185	0.000000
281474976710655.000000	9.980773	4186	0.000000
281474976710655.000000	9.451287	4187	0.000000
281474976710655.000000	9.309336	4188	0.000000
281474976710655.000000	9.641699	4189	0.000000
281474976710655.000000	9.285449	4190	0.000000
281474976710655.000000	9.401573	4191	0.000000
281474976710655.000000	8.593691	4192	0.000000
281474976710655.000000	8.627503	4193	0.000000
281474976710655.000000	8.839318	4194	0.000000
281474976710655.000000	8.218409	4195	0.000000
281474976710655.000000	8.704175	4196	0.000000
281474976710655.000000	7.821985	4197	0.000000
281474976710655.000000	8.168757	4198	0.000000
281474976710655.000000	7.373348	4199	0.000000
281474976710655.000000	7.757635	4200	0.000000
281474976710655.000000	7.290528	4201	0.000000
281474976710655.000000	6.418868	4202	0.000000
281474976710655.000000	7.974366	4203	0.000000
281474976710655.000000	6.930107	4204	0.000000
281474976710655.000000	7.297462	4205	0.000000
281474976710655.000000	7.108475	4206	0.000000
281474976710655.000000	6.869957	4207	0.000000
281474976710655.000000	6.781251	4208	0.000000
281474976710655.000000	6.826776	4209	0.000000
281474976710655.000000	6.470321	4210	0.000000
281474976710655.000000	6.416900	4211	0.000000
281474976710655.000000	5.839655	4212	0.000000
281474976710655.000000	6.209776	4213	0.000000
281474976710655.000000	5.660909	4214	0.000000
281474976710655.000000	5.491019	4215	0.000000
281474976710655.000000	5.765714	4216	0.000000
281474976710655.000000	5.345164	4217	0.000000
281474976710655.000000	4.906393	4218	0.000000
281474976710655.000000	4.735549	4219	0.000000
281474976710655.000000	5.338335	4220	0.000000
281474976710655.000000	4.833063	4221	0.000000
281474976710655.000000	5.359705	4222	0.000000
281474976710655.000000	4.631115	4223	0.000000
281474976710655.000000	4.459854	4224	0.000000
281474976710655.000000	4.688555	4225	0.000000
281474976710655.000000	4.722300	4226	0.000000
281474976710655.000000	4.773633	4227	0.000000
281474976710655.000000	4.340008	4228	0.000000
281474976710655.000000	4.529420	4229	0.000000
281474976710655.000000	3.923328	4230	0.000000
281474976710655.000000	3.781773	4231	0.000000
281474976710655.000000	3.658777	4232	0.000000
281474976710655.000000	3.700046	4233	0.000000
281474976710655.000000	3.331527	4234	0.000000
281474976710655.000000	3.547782	4235	0.000000
281474976710655.000000	3.525080	4236	0.000000
281474976710655.000000	3.181356	4237	0.000000
281474976710655.000000	2.953242	4238	0.000000
281474976710655.000000	2.785640	4239	0.000000
281474976710655.000000	3.114096	4240	0.000000
281474976710655.000000	3.246379	4241	0.000000
281474976710655.000000	3.003896	4242	0.000000
281474976710655.000000	3.022498	4243	0.000000
281474976710655.000000	3.059713	4244	0.000000
281474976710655.000000	2.898876	4245	0.000000
281474976710655.000000	2.435945	4246	0.000000
281474976710655.000000	2.389475	4247	0.000000
281474976710655.000000	2.732724	4248	0.000000
281474976710655.000000	2.551871	4249	0.000000
281474976710655.000000	2.693101	4250	0.000000
281474976710655.000000	2.601236	4251	0.000000
281474976710655.000000	2.771669	4252	0.000000
281474976710655.000000	2.451661	4253	0.000000
281474976710655.000000	2.322582	4254	0.000000
281474976710655.000000	2.981848	4255	0.000000
281474976710655.000000	2.485868	4256	0.000000
281474976710655.000000	2.517455	4257	0.000000
281474976710655.000000	2.033196	4258	0.000000
281474976710655.000000	1.885193	4259	0.000000
281474976710655.000000	1.720898	4260	0.000000
281474976710655.000000	1.722062	4261	0.000000
281474976710655.000000	1.761583	4262	0.000000
281474976710655.000000	1.718568	4263	0.000000
281474976710655.000000	1.804122	4264	0.000000
281474976710655.000000	1.752378	4265	0.000000
