num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4037	64740.938635	49.217964	1.097252	3.762604	0.641033
4041	64745.068273	75.814893	1.040024	3.694634	99.947566
4043	64747.142495	75.902634	0.759012	3.716685	94.318825
4045	64749.206288	75.417470	0.595169	3.703087	118.764287
4047	64751.271170	73.865888	0.887146	3.690729	94.145641
4049	64753.343004	72.079634	0.847542	3.701816	96.529983
4051	64755.416112	71.814367	0.627694	3.710921	99.860396
4053	64757.482587	70.821310	0.649898	3.707246	85.698440
4055	64759.546898	69.734747	0.736707	3.701388	91.509703
4057	64761.610913	68.736738	0.737027	3.702518	92.311129
4059	64763.678826	67.478870	0.705590	3.702477	81.380341
4061	64765.745643	66.570191	0.713020	3.702891	80.120884
4063	64767.815307	65.790575	0.705337	3.706154	82.185983
4065	64769.884820	64.439611	0.667434	3.704272	81.677071
4067	64771.956684	63.376195	0.625278	3.702086	78.218573
4069	64774.028415	62.314989	0.676581	3.695857	77.054604
4071	64776.095607	62.045641	0.760968	3.693840	73.453577
4073	64778.155897	61.344472	0.741731	3.705261	69.082517
4075	64780.221203	59.760113	0.560598	3.713777	71.776340
4077	64782.296755	58.273869	0.499257	3.698874	71.113880
4079	64784.367078	58.497539	0.818069	3.689274	64.681143
4081	64786.425746	57.540935	0.759096	3.709109	62.740873
4083	64788.493090	55.957284	0.451884	3.713646	61.903589
4085	64790.571153	54.983995	0.536171	3.692677	62.000214
4087	64792.636823	55.048153	0.807590	3.694560	56.948268
4089	64794.694090	54.075087	0.675047	3.713392	55.409262
4091	64796.764623	51.770986	0.480341	3.710584	57.264471
4093	64798.841788	51.582105	0.578390	3.695932	50.953078
4095	64800.910813	51.144600	0.690580	3.694307	50.866885
4097	64802.971464	50.442836	0.684030	3.703151	48.298791
4099	64805.032815	49.357879	0.597191	3.706404	49.927384
4101	64807.103135	47.981519	0.609222	3.707387	46.042982
4103	64809.169138	47.730045	0.595118	3.706746	47.848565
4105	64811.239743	46.744361	0.579175	3.704604	44.556413
4107	64813.307371	46.227889	0.591393	3.701549	43.808656
4109	64815.373666	45.172336	0.585139	3.699729	39.924695
4111	64817.440239	44.525814	0.594741	3.695727	38.405154
4113	64819.509565	43.478119	0.625405	3.695025	37.456089
4115	64821.581668	42.656038	0.653262	3.699619	37.238078
4117	64823.657555	42.159422	0.602614	3.711263	35.904611
4119	64825.728512	41.467578	0.528415	3.711209	31.726605
4121	64827.790556	41.118516	0.446012	3.700428	33.928474
4123	64829.850061	40.350359	0.538050	3.684246	31.761981
4125	64831.921406	39.038442	0.698779	3.690443	30.463820
4127	64833.999512	38.767902	0.580956	3.714330	29.918911
4129	64836.071061	38.332648	0.412706	3.707891	29.137648
4131	64838.126699	37.747528	0.423886	3.690210	26.835063
4133	64840.186147	36.385341	0.598674	3.680041	25.468213
4135	64842.262894	36.053672	0.637378	3.696623	26.659343
