crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.484087	11803	0.000000
281474976710655.000000	1.138133	11804	0.000000
281474976710655.000000	1.969610	11805	0.000000
281474976710655.000000	1.424925	11806	0.000000
281474976710655.000000	2.765138	11807	0.000000
281474976710655.000000	1.981727	11808	0.000000
281474976710655.000000	3.458840	11809	0.000000
281474976710655.000000	2.778119	11810	0.000000
281474976710655.000000	5.091733	11811	0.000000
281474976710655.000000	3.250784	11812	0.000000
281474976710655.000000	6.950643	11813	0.000000
281474976710655.000000	3.583405	11814	0.000000
281474976710655.000000	7.837021	11815	0.000000
281474976710655.000000	4.816400	11816	0.000000
281474976710655.000000	7.852241	11817	0.000000
281474976710655.000000	7.992484	11818	0.000000
281474976710655.000000	9.157393	11819	0.000000
281474976710655.000000	7.389045	11820	0.000000
281474976710655.000000	7.723830	11821	0.000000
281474976710655.000000	7.749128	11822	0.000000
281474976710655.000000	8.830819	11823	0.000000
281474976710655.000000	7.138005	11824	0.000000
281474976710655.000000	7.862789	11825	0.000000
281474976710655.000000	6.934918	11826	0.000000
281474976710655.000000	7.504430	11827	0.000000
281474976710655.000000	7.352399	11828	0.000000
281474976710655.000000	5.860193	11829	0.000000
281474976710655.000000	5.561246	11830	0.000000
281474976710655.000000	5.095813	11831	0.000000
281474976710655.000000	6.207873	11832	0.000000
281474976710655.000000	4.433726	11833	0.000000
281474976710655.000000	4.645289	11834	0.000000
281474976710655.000000	3.666902	11835	0.000000
281474976710655.000000	3.576600	11836	0.000000
281474976710655.000000	2.901241	11837	0.000000
281474976710655.000000	4.154180	11838	0.000000
281474976710655.000000	2.126657	11839	0.000000
281474976710655.000000	3.159212	11840	0.000000
281474976710655.000000	1.970649	11841	0.000000
281474976710655.000000	1.891288	11842	0.000000
281474976710655.000000	1.516687	11843	0.000000
281474976710655.000000	2.150419	11844	0.000000
281474976710655.000000	2.060701	11845	0.000000
281474976710655.000000	1.552050	11846	0.000000
281474976710655.000000	1.052597	11847	0.000000
281474976710655.000000	0.883351	11848	0.000000
