num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
11803	85889.795393	3.806399	59.395684	2.263765	0.713054
11805	85891.863260	3.605593	54.490531	2.261122	1.479022
11807	85893.928285	3.486688	50.806094	2.259751	1.711148
11809	85895.993401	3.375537	46.789563	2.260685	2.955758
11811	85898.076282	3.154869	43.001195	2.260633	3.980735
11813	85900.155983	2.930445	39.634063	2.259399	5.548412
11815	85902.234425	3.254462	36.788026	2.258332	7.146973
11817	85904.303246	2.873458	33.649534	2.259923	7.787901
11819	85906.374405	2.336132	30.669943	2.255585	8.033714
11821	85908.440810	2.824043	28.458108	2.256384	9.547089
11823	85910.515247	2.098920	25.774554	2.257927	7.718824
11827	85914.659882	2.160826	21.574123	2.254679	8.249960
11829	85916.737973	1.923011	19.580975	2.253837	7.634535
11831	85918.814013	1.645002	17.928944	2.255838	6.002241
11833	85920.884403	1.521234	16.104834	2.252505	5.291940
11835	85922.964884	1.379680	14.676487	2.252926	4.229052
11837	85925.024884	1.123299	13.269595	2.254373	4.099836
11839	85927.105004	0.989015	11.884311	2.250525	2.906429
11841	85929.177192	1.190711	10.704375	2.234523	2.183058
11843	85931.292707	1.239938	10.171525	2.253551	2.684459
11845	85933.354818	0.942944	3.667368	2.520232	2.655031
11847	85937.465369	0.391464	-0.515144	2.441200	3.325844
