num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2663	62694.482046	58.137418	1.961611	3.830579	11.807537
2665	62696.551313	78.737885	5.096795	3.758951	151.070041
2667	62698.621656	76.863783	5.193924	3.759790	139.875149
2669	62700.691741	74.958321	5.201352	3.757827	99.152928
2671	62702.757121	72.858236	5.172100	3.758422	123.851905
2673	62704.831768	71.282490	5.121942	3.758110	111.679686
2675	62706.901340	68.740310	5.112222	3.765906	93.780440
2677	62708.965797	67.393765	5.067107	3.762789	114.855209
2681	62713.112105	63.658666	4.898638	3.768499	86.256796
2683	62715.179322	61.738019	4.803559	3.769362	91.955665
2685	62717.248512	60.551103	4.732566	3.766605	78.900832
2687	62719.314373	58.729983	4.696284	3.765578	76.879307
2689	62721.380389	56.790697	4.616977	3.761835	72.394606
2691	62723.450019	55.228356	4.641329	3.763052	62.150129
2693	62725.518990	53.504297	4.594217	3.763406	65.084824
2695	62727.589187	51.971534	4.531784	3.767133	62.894991
2697	62729.661550	50.382543	4.450767	3.766765	54.145083
2699	62731.730794	48.980235	4.390867	3.766622	53.969605
2701	62733.799636	47.751391	4.330825	3.767798	52.090115
2703	62735.872449	46.157382	4.288750	3.767279	47.752668
2705	62737.942171	44.784109	4.229573	3.767585	42.508643
2707	62740.009990	43.352256	4.122790	3.768781	42.848179
2709	62742.078101	42.121515	4.073650	3.767841	40.196385
2711	62744.146129	40.819257	3.982769	3.768576	36.064455
2713	62746.214114	39.524689	3.898089	3.768602	34.331885
2715	62748.282665	38.248045	3.797703	3.769102	32.788088
2717	62750.352477	37.014784	3.681758	3.769266	32.148586
2719	62752.424756	35.849926	3.580429	3.767364	29.906809
2721	62754.499789	34.642628	3.490079	3.767381	26.289950
2723	62756.572975	33.431225	3.407919	3.763296	25.583696
2725	62758.645519	32.387052	3.318758	3.761399	24.361446
2727	62760.712792	31.486117	3.247505	3.759145	22.459439
2729	62762.779004	30.658833	3.156876	3.759704	23.687438
2731	62764.845991	29.776814	3.043385	3.764267	20.041268
2733	62766.911332	28.762594	2.943236	3.766495	18.838187
2735	62768.976161	27.697024	2.850307	3.766200	16.644500
2737	62771.041378	26.747835	2.758508	3.765911	17.148963
2739	62773.110539	25.883548	2.656152	3.765082	15.249005
2741	62775.179105	25.089161	2.554521	3.761847	14.267258
2743	62777.250442	24.108206	2.490071	3.762342	13.829206
2745	62779.319091	23.386127	2.408886	3.762477	12.994795
2747	62781.387008	22.644196	2.325528	3.760520	12.219622
2749	62783.457475	21.850473	2.255339	3.758817	11.501454
2751	62785.526047	21.269289	2.149900	3.758130	10.719378
2753	62787.593375	20.544305	2.088722	3.758199	9.680080
2755	62789.666686	19.960935	2.015322	3.756989	9.478343
2757	62791.739685	19.188916	1.961746	3.755493	8.128121
2759	62793.809460	18.524928	1.892969	3.760366	8.118155
2761	62795.887810	18.020013	1.836506	3.761031	7.184369
2763	62797.963958	17.342308	1.753320	3.762699	7.116096
2765	62800.040221	16.723532	1.679165	3.769014	6.500685
2767	62802.114201	16.202151	1.630086	3.773302	6.325888
2769	62804.177835	15.946133	1.540925	3.770006	5.969298
2771	62806.247876	15.320078	1.488398	3.768203	5.230760
2773	62808.307590	14.725156	1.469018	3.757041	4.303540
2775	62810.371948	14.215348	1.390407	3.767377	4.798436
2777	62812.433027	13.908482	1.358368	3.754340	4.591040
2779	62814.496942	13.453297	1.295805	3.754573	4.726002
2781	62816.564568	12.888384	1.237963	3.764439	4.016563
2783	62818.635477	12.534962	1.217373	3.751714	3.343303
2785	62820.701847	12.185209	1.160969	3.754412	3.685974
2787	62822.773820	11.642300	1.135840	3.755737	3.244113
2789	62824.836171	11.388368	1.061802	3.764190	2.760713
2791	62826.910019	10.863187	1.059945	3.761734	2.531579
2793	62828.976680	10.489365	1.020930	3.759760	3.346616
2795	62831.047295	10.103392	0.988709	3.763873	2.265767
2797	62833.112173	9.866779	0.939240	3.763641	2.850191
2799	62835.190128	9.613189	0.888006	3.763611	2.153172
2803	62839.344098	0.058458	0.122876	5.488638	1.632751
2805	62844.382418	0.232991	0.192699	1.729892	1.584987
2807	62848.489014	0.262951	0.004655	2.225702	1.241902
2809	62852.636949	0.108407	0.212810	2.442910	1.483930
2809	62852.636949	0.108407	0.212810	2.442910	1.203138
2809	62852.636949	0.108407	0.212810	2.442910	1.203138
2809	62852.636949	0.108407	0.212810	2.442910	1.203138
2809	62852.636949	0.108407	0.212810	2.442910	1.203138
2809	62852.636949	0.108407	0.212810	2.442910	1.203138
