num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1235	59433.659580	59.603276	1.549494	3.809309	127.116266
1237	59435.736583	47.458998	1.399897	3.804696	87.990630
1239	59437.815301	37.045538	1.246269	3.797703	54.536305
1241	59439.895833	28.936492	1.016485	3.789065	32.708793
1243	59441.980233	22.242562	0.810835	3.783750	19.231093
1245	59444.064800	16.994432	0.633679	3.780371	11.018502
1247	59446.147777	13.206659	0.481592	3.777718	7.117438
1249	59448.239057	10.131831	0.378185	3.784054	3.349307
