num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1663	60491.754093	0.135885	-2.193844	5.146535	1.514017
1667	60498.140755	76.185653	4.243167	3.783508	150.165537
1669	60500.213017	71.830542	4.083945	3.787825	130.178216
1671	60502.285232	68.886242	4.069946	3.787092	116.389812
1673	60504.360186	65.258980	3.985557	3.786800	103.462867
1675	60506.430885	62.166379	3.876333	3.787051	105.219841
1677	60508.502101	58.670694	3.790905	3.788469	83.905969
1679	60510.573923	55.580046	3.668543	3.789371	84.801599
1681	60512.645475	52.361971	3.610253	3.789578	65.740927
1683	60514.717368	49.487628	3.516410	3.788466	63.555957
1685	60516.790198	46.574037	3.395587	3.787326	56.995015
1687	60518.866441	43.720898	3.293925	3.787512	52.438227
1689	60520.941327	41.475002	3.202439	3.784967	43.632423
1691	60523.015274	38.832810	3.086873	3.783252	39.690233
1693	60525.083123	36.584591	2.956021	3.782849	34.055531
1695	60527.150962	34.551652	2.771180	3.787436	32.475543
1697	60529.220709	32.256809	2.596933	3.788229	28.451679
1699	60531.297052	30.122807	2.441693	3.781804	25.060608
1701	60533.376700	28.307094	2.324732	3.777621	20.835449
1703	60535.451291	26.712950	2.228984	3.777706	19.389830
1705	60537.520921	24.934537	2.113583	3.775742	15.954306
1707	60539.587517	23.507655	1.950738	3.782908	14.436067
1709	60541.655777	21.741659	1.821135	3.784324	12.962715
1711	60543.729780	20.362105	1.684471	3.784181	11.416809
1713	60545.803004	19.100588	1.571753	3.780242	9.718372
1715	60547.882497	17.784843	1.493187	3.780596	9.099175
1717	60549.960971	16.684681	1.419834	3.786185	7.525199
1719	60552.040313	15.630090	1.341200	3.788865	6.108897
1721	60554.112327	14.493848	1.246722	3.791300	5.604792
1723	60556.189384	13.709429	1.163919	3.790983	4.748801
1725	60558.265607	12.561915	1.059077	3.796129	3.955067
1727	60560.342389	11.907546	1.027292	3.797092	3.938215
1729	60562.414092	11.494011	0.914463	3.793261	2.980557
1731	60564.482996	10.429926	0.892275	3.793037	2.814073
1733	60566.545460	9.715713	0.828893	3.788802	2.650072
1735	60568.611197	0.050388	0.188595	0.580509	1.611391
1737	60573.627996	0.434562	-0.018880	0.945341	1.531082
1739	60577.713549	0.241573	-0.089356	-0.306715	1.454772
1741	60581.821066	0.202581	0.233066	-1.315489	0.676614
1741	60581.821066	0.203982	0.231962	4.957931	0.440679
1741	60581.821066	0.203982	0.231962	4.957931	0.449836
1741	60581.821066	0.203982	0.231962	4.957931	0.449836
1741	60581.821066	0.203982	0.231962	4.957931	0.449836
1741	60581.821066	0.203982	0.231962	4.957931	0.449836
1741	60581.821066	6.538898	0.458961	3.750261	0.449836
