crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.054418	12255	0.000000
281474976710655.000000	1.071625	12256	0.000000
281474976710655.000000	1.085703	12257	0.000000
281474976710655.000000	1.258891	12258	0.000000
281474976710655.000000	1.043836	12259	0.000000
281474976710655.000000	1.734997	12260	0.000000
281474976710655.000000	1.201465	12261	0.000000
281474976710655.000000	1.982247	12262	0.000000
281474976710655.000000	1.520167	12263	0.000000
281474976710655.000000	2.480500	12264	0.000000
281474976710655.000000	1.845260	12265	0.000000
281474976710655.000000	3.290994	12266	0.000000
281474976710655.000000	2.111887	12267	0.000000
281474976710655.000000	3.980153	12268	0.000000
281474976710655.000000	2.602399	12269	0.000000
281474976710655.000000	4.563709	12270	0.000000
281474976710655.000000	3.449935	12271	0.000000
281474976710655.000000	4.597930	12272	0.000000
281474976710655.000000	3.717945	12273	0.000000
281474976710655.000000	6.294002	12274	0.000000
281474976710655.000000	4.121758	12275	0.000000
281474976710655.000000	7.019937	12276	0.000000
281474976710655.000000	4.699459	12277	0.000000
281474976710655.000000	8.227403	12278	0.000000
281474976710655.000000	5.075389	12279	0.000000
281474976710655.000000	7.694405	12280	0.000000
281474976710655.000000	6.105845	12281	0.000000
281474976710655.000000	7.287447	12282	0.000000
281474976710655.000000	6.669084	12283	0.000000
281474976710655.000000	7.997043	12284	0.000000
281474976710655.000000	5.963911	12285	0.000000
281474976710655.000000	6.652753	12286	0.000000
281474976710655.000000	7.359786	12287	0.000000
281474976710655.000000	8.243619	12288	0.000000
281474976710655.000000	7.434968	12289	0.000000
281474976710655.000000	7.167307	12290	0.000000
281474976710655.000000	5.405365	12291	0.000000
281474976710655.000000	7.374448	12292	0.000000
281474976710655.000000	6.479786	12293	0.000000
281474976710655.000000	5.818512	12294	0.000000
281474976710655.000000	9.067060	12295	0.000000
281474976710655.000000	4.775185	12296	0.000000
281474976710655.000000	4.596650	12297	0.000000
281474976710655.000000	4.523982	12298	0.000000
281474976710655.000000	5.477185	12299	0.000000
281474976710655.000000	4.000045	12300	0.000000
281474976710655.000000	4.722710	12301	0.000000
281474976710655.000000	3.873491	12302	0.000000
281474976710655.000000	4.280077	12303	0.000000
281474976710655.000000	3.321760	12304	0.000000
281474976710655.000000	4.025784	12305	0.000000
281474976710655.000000	2.992044	12306	0.000000
281474976710655.000000	3.630559	12307	0.000000
281474976710655.000000	2.321170	12308	0.000000
281474976710655.000000	3.420403	12309	0.000000
281474976710655.000000	1.973148	12310	0.000000
281474976710655.000000	3.118340	12311	0.000000
281474976710655.000000	1.596447	12312	0.000000
281474976710655.000000	2.772691	12313	0.000000
281474976710655.000000	2.409668	12314	0.000000
281474976710655.000000	2.009794	12315	0.000000
281474976710655.000000	1.770023	12316	0.000000
281474976710655.000000	1.828943	12317	0.000000
281474976710655.000000	1.574253	12318	0.000000
281474976710655.000000	1.212353	12319	0.000000
