crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.061276	11857	0.000000
281474976710655.000000	2.068807	11858	0.000000
281474976710655.000000	1.403467	11859	0.000000
281474976710655.000000	2.944525	11860	0.000000
281474976710655.000000	1.870678	11861	0.000000
281474976710655.000000	3.660230	11862	0.000000
281474976710655.000000	2.595089	11863	0.000000
281474976710655.000000	3.571644	11864	0.000000
281474976710655.000000	3.339435	11865	0.000000
281474976710655.000000	5.576077	11866	0.000000
281474976710655.000000	5.063113	11867	0.000000
281474976710655.000000	6.445691	11868	0.000000
281474976710655.000000	4.518583	11869	0.000000
281474976710655.000000	8.617399	11870	0.000000
281474976710655.000000	5.780250	11871	0.000000
281474976710655.000000	9.080672	11872	0.000000
281474976710655.000000	6.797552	11873	0.000000
281474976710655.000000	8.839215	11874	0.000000
281474976710655.000000	6.947001	11875	0.000000
281474976710655.000000	8.546806	11876	0.000000
281474976710655.000000	7.356754	11877	0.000000
281474976710655.000000	7.938297	11878	0.000000
281474976710655.000000	7.054850	11879	0.000000
281474976710655.000000	7.437326	11880	0.000000
281474976710655.000000	6.796793	11881	0.000000
281474976710655.000000	5.739545	11882	0.000000
281474976710655.000000	6.875013	11883	0.000000
281474976710655.000000	4.826961	11884	0.000000
281474976710655.000000	5.523855	11885	0.000000
281474976710655.000000	4.139122	11886	0.000000
281474976710655.000000	4.664435	11887	0.000000
281474976710655.000000	3.866640	11888	0.000000
281474976710655.000000	4.329599	11889	0.000000
281474976710655.000000	3.080481	11890	0.000000
281474976710655.000000	3.351293	11891	0.000000
281474976710655.000000	2.480294	11892	0.000000
281474976710655.000000	2.670458	11893	0.000000
281474976710655.000000	1.953465	11894	0.000000
281474976710655.000000	3.536773	11895	0.000000
281474976710655.000000	2.602179	11896	0.000000
281474976710655.000000	2.081407	11897	0.000000
281474976710655.000000	1.652634	11898	0.000000
281474976710655.000000	1.146744	11899	0.000000
