num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
11857	85994.355313	4.690688	56.479580	-0.965863	0.433935
11859	85996.422330	4.604068	52.582336	-0.965322	0.993056
11861	85998.469331	4.394312	49.352099	-0.967639	1.003220
11863	86000.541333	4.254877	44.808777	-0.965338	1.565770
11865	86002.618680	4.060963	41.567812	-0.966014	2.962713
11867	86004.690266	3.857784	38.325394	-0.965391	3.458899
11869	86006.765262	3.838599	35.023774	-0.967272	5.574260
11871	86008.833914	3.539258	32.469097	5.315653	4.680009
11873	86010.908423	3.030269	29.585735	5.317539	5.558832
11875	86012.981821	2.762980	26.995815	5.313861	6.894583
11877	86015.056833	2.744464	24.803285	5.312586	7.035130
11879	86017.129307	2.678588	22.525200	5.308321	7.245523
11883	86021.268358	2.163280	18.810408	-0.978152	6.422589
11885	86023.349315	1.987482	16.996583	5.306293	7.476722
11887	86025.426140	1.812992	15.602574	5.307766	5.869526
11889	86027.493080	1.647109	13.806742	5.305354	4.664421
11891	86029.565303	1.429369	12.897891	5.307153	4.379185
11893	86031.638369	1.260833	11.795023	5.308282	2.984829
11895	86033.712487	1.247281	10.835784	5.303499	2.111121
11897	86036.826754	0.410641	0.538780	-0.841719	3.696355
11899	86040.968522	0.000000	0.717459	-0.846729	2.456745
