num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
12615	87221.173427	2.664412	68.831370	-0.897471	0.424091
12617	87223.235237	3.014686	65.176602	-0.897829	0.643225
12619	87225.277284	2.892754	62.651854	-0.901354	0.311412
12621	87227.345172	2.775150	62.264319	-0.905970	0.097645
12623	87229.411321	2.732782	58.824482	-0.904558	0.712068
12625	87231.463370	2.724281	56.552089	5.379373	0.876484
12627	87233.545891	2.560333	54.212145	5.380183	0.840582
12629	87235.631508	2.547420	52.365517	-0.904143	1.000881
12631	87237.696558	2.830560	50.093637	5.377286	1.125059
12633	87239.761297	2.868575	48.246210	5.380507	1.162042
12635	87241.830720	2.355717	45.948795	5.380427	1.520030
12637	87243.906832	2.533748	43.940854	5.378198	2.085072
12639	87245.979865	2.852655	42.267485	5.379558	2.601944
12641	87248.056071	2.584599	40.484723	5.380679	3.022844
12643	87250.118810	2.355501	38.359964	5.379761	3.720781
12645	87252.191095	2.338159	37.201777	5.380820	3.137272
12647	87254.262737	2.361362	35.444216	5.380785	4.555187
12649	87256.331231	2.366196	33.517215	5.378437	4.447620
12651	87258.401600	2.353714	32.105575	5.379155	4.339535
12653	87260.477783	2.211122	30.836053	5.377957	5.283694
12655	87262.545469	1.901507	29.323059	5.376458	6.703156
12657	87264.613168	1.820564	28.152323	5.374066	5.843795
12659	87266.683274	2.121598	26.749002	5.373417	6.448715
12661	87268.761189	2.114714	25.402468	5.376598	5.350677
12663	87270.830468	1.728968	24.325595	5.374680	6.197986
12665	87272.902945	1.561891	23.350278	5.372134	6.555525
12667	87274.972684	1.616708	21.915214	5.371386	6.169441
12669	87277.043326	1.638786	20.813264	-0.910992	5.851489
12671	87279.110870	1.588803	20.101769	-0.912055	5.993353
12673	87281.184825	1.526362	19.091791	-0.911386	6.109289
12675	87283.257939	1.518828	18.221293	-0.908136	5.704704
12677	87285.326749	1.570640	17.149156	-0.907228	5.449551
12679	87287.400322	1.558545	16.175375	5.368214	5.059815
12683	87291.541281	1.041521	14.936111	5.367241	4.578401
12685	87293.615207	1.093701	14.109976	5.366849	3.268400
12687	87295.689411	1.259402	13.627877	5.365665	3.793383
12689	87297.756981	1.283889	12.922275	5.364649	4.616433
12691	87299.823506	1.193463	10.632566	5.361941	4.236901
12693	87301.893140	1.059152	11.626364	5.363424	3.507668
12695	87303.976415	0.994502	11.145422	5.369199	3.983943
12697	87306.045269	0.944562	10.522135	5.364502	2.579293
12699	87308.112128	0.845331	10.102099	5.364586	2.429156
12701	87311.214633	0.300348	-0.759080	2.175483	2.141492
12703	87315.363192	0.000000	-0.464584	1.972462	2.678249
12705	87319.495308	0.207846	0.551946	-0.799162	1.787793
