crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	0.989764	12614	0.000000
281474976710655.000000	1.071542	12615	0.000000
281474976710655.000000	1.071047	12616	0.000000
281474976710655.000000	1.059731	12617	0.000000
281474976710655.000000	1.084613	12618	0.000000
281474976710655.000000	1.074877	12619	0.000000
281474976710655.000000	1.163238	12620	0.000000
281474976710655.000000	0.974983	12621	0.000000
281474976710655.000000	1.269401	12622	0.000000
281474976710655.000000	1.025995	12623	0.000000
281474976710655.000000	1.609646	12624	0.000000
281474976710655.000000	1.092140	12625	0.000000
281474976710655.000000	1.947212	12626	0.000000
281474976710655.000000	1.185240	12627	0.000000
281474976710655.000000	2.110245	12628	0.000000
281474976710655.000000	1.521252	12629	0.000000
281474976710655.000000	2.482829	12630	0.000000
281474976710655.000000	1.836811	12631	0.000000
281474976710655.000000	2.832617	12632	0.000000
281474976710655.000000	1.980999	12633	0.000000
281474976710655.000000	3.618980	12634	0.000000
281474976710655.000000	2.234863	12635	0.000000
281474976710655.000000	3.575683	12636	0.000000
281474976710655.000000	2.792073	12637	0.000000
281474976710655.000000	4.014916	12638	0.000000
281474976710655.000000	2.915670	12639	0.000000
281474976710655.000000	4.373883	12640	0.000000
281474976710655.000000	3.567094	12641	0.000000
281474976710655.000000	5.958741	12642	0.000000
281474976710655.000000	3.495877	12643	0.000000
281474976710655.000000	5.740589	12644	0.000000
281474976710655.000000	4.408875	12645	0.000000
281474976710655.000000	5.941608	12646	0.000000
281474976710655.000000	4.633527	12647	0.000000
281474976710655.000000	7.170199	12648	0.000000
281474976710655.000000	4.605550	12649	0.000000
281474976710655.000000	7.005840	12650	0.000000
281474976710655.000000	5.287689	12651	0.000000
281474976710655.000000	7.682050	12652	0.000000
281474976710655.000000	6.582442	12653	0.000000
281474976710655.000000	7.156754	12654	0.000000
281474976710655.000000	5.845210	12655	0.000000
281474976710655.000000	6.998080	12656	0.000000
281474976710655.000000	6.437428	12657	0.000000
281474976710655.000000	7.956479	12658	0.000000
281474976710655.000000	5.582451	12659	0.000000
281474976710655.000000	7.359934	12660	0.000000
281474976710655.000000	6.272553	12661	0.000000
281474976710655.000000	6.571918	12662	0.000000
281474976710655.000000	6.384037	12663	0.000000
281474976710655.000000	6.494460	12664	0.000000
281474976710655.000000	6.207152	12665	0.000000
281474976710655.000000	6.442453	12666	0.000000
281474976710655.000000	5.961920	12667	0.000000
281474976710655.000000	6.118400	12668	0.000000
281474976710655.000000	5.933912	12669	0.000000
281474976710655.000000	5.621127	12670	0.000000
281474976710655.000000	5.708411	12671	0.000000
281474976710655.000000	5.361666	12672	0.000000
281474976710655.000000	5.428898	12673	0.000000
281474976710655.000000	4.999931	12674	0.000000
281474976710655.000000	5.277867	12675	0.000000
281474976710655.000000	4.642601	12676	0.000000
281474976710655.000000	4.939333	12677	0.000000
281474976710655.000000	4.290408	12678	0.000000
281474976710655.000000	4.722230	12679	0.000000
281474976710655.000000	3.854404	12680	0.000000
281474976710655.000000	4.465777	12681	0.000000
281474976710655.000000	3.399953	12682	0.000000
281474976710655.000000	3.446600	12683	0.000000
281474976710655.000000	3.123443	12684	0.000000
281474976710655.000000	3.439066	12685	0.000000
281474976710655.000000	2.912864	12686	0.000000
281474976710655.000000	3.816487	12687	0.000000
281474976710655.000000	2.675976	12688	0.000000
281474976710655.000000	3.752792	12689	0.000000
281474976710655.000000	2.455661	12690	0.000000
281474976710655.000000	2.881977	12691	0.000000
281474976710655.000000	2.052635	12692	0.000000
281474976710655.000000	3.051824	12693	0.000000
281474976710655.000000	1.888371	12694	0.000000
281474976710655.000000	2.576850	12695	0.000000
281474976710655.000000	1.642109	12696	0.000000
281474976710655.000000	2.303217	12697	0.000000
281474976710655.000000	1.451405	12698	0.000000
281474976710655.000000	2.187567	12699	0.000000
281474976710655.000000	1.811242	12700	0.000000
281474976710655.000000	1.761302	12701	0.000000
281474976710655.000000	1.684325	12702	0.000000
281474976710655.000000	1.575636	12703	0.000000
281474976710655.000000	1.477551	12704	0.000000
281474976710655.000000	1.198781	12705	0.000000
