crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.023905	12849	0.000000
281474976710655.000000	1.193851	12850	0.000000
281474976710655.000000	1.000131	12851	0.000000
281474976710655.000000	1.126616	12852	0.000000
281474976710655.000000	0.982353	12853	0.000000
281474976710655.000000	0.953111	12854	0.000000
281474976710655.000000	1.084761	12855	0.000000
281474976710655.000000	1.029768	12856	0.000000
281474976710655.000000	1.031533	12857	0.000000
281474976710655.000000	1.006202	12858	0.000000
281474976710655.000000	1.065330	12859	0.000000
281474976710655.000000	0.939606	12860	0.000000
281474976710655.000000	1.149891	12861	0.000000
281474976710655.000000	0.960648	12862	0.000000
281474976710655.000000	1.188058	12863	0.000000
281474976710655.000000	1.001823	12864	0.000000
281474976710655.000000	1.365054	12865	0.000000
281474976710655.000000	1.102889	12866	0.000000
281474976710655.000000	1.402093	12867	0.000000
281474976710655.000000	1.173453	12868	0.000000
281474976710655.000000	1.623570	12869	0.000000
281474976710655.000000	1.161146	12870	0.000000
281474976710655.000000	1.872888	12871	0.000000
281474976710655.000000	1.318196	12872	0.000000
281474976710655.000000	2.031660	12873	0.000000
281474976710655.000000	1.397585	12874	0.000000
281474976710655.000000	2.436294	12875	0.000000
281474976710655.000000	1.536720	12876	0.000000
281474976710655.000000	2.566251	12877	0.000000
281474976710655.000000	1.873684	12878	0.000000
281474976710655.000000	2.798171	12879	0.000000
281474976710655.000000	2.069160	12880	0.000000
281474976710655.000000	3.192839	12881	0.000000
281474976710655.000000	2.215798	12882	0.000000
281474976710655.000000	3.302707	12883	0.000000
281474976710655.000000	2.504444	12884	0.000000
281474976710655.000000	3.859612	12885	0.000000
281474976710655.000000	2.749618	12886	0.000000
281474976710655.000000	4.184161	12887	0.000000
281474976710655.000000	2.956548	12888	0.000000
281474976710655.000000	4.591704	12889	0.000000
281474976710655.000000	3.130552	12890	0.000000
281474976710655.000000	4.827180	12891	0.000000
281474976710655.000000	3.560830	12892	0.000000
281474976710655.000000	5.072690	12893	0.000000
281474976710655.000000	3.788068	12894	0.000000
281474976710655.000000	5.864219	12895	0.000000
281474976710655.000000	3.815613	12896	0.000000
281474976710655.000000	6.007868	12897	0.000000
281474976710655.000000	4.198430	12898	0.000000
281474976710655.000000	5.742586	12899	0.000000
281474976710655.000000	4.749767	12900	0.000000
281474976710655.000000	6.154513	12901	0.000000
281474976710655.000000	4.939767	12902	0.000000
281474976710655.000000	6.844410	12903	0.000000
281474976710655.000000	4.741197	12904	0.000000
281474976710655.000000	6.741877	12905	0.000000
281474976710655.000000	5.043907	12906	0.000000
281474976710655.000000	6.550045	12907	0.000000
281474976710655.000000	5.026442	12908	0.000000
281474976710655.000000	6.944717	12909	0.000000
281474976710655.000000	5.453012	12910	0.000000
281474976710655.000000	7.186703	12911	0.000000
281474976710655.000000	5.277331	12912	0.000000
281474976710655.000000	7.018630	12913	0.000000
281474976710655.000000	5.548111	12914	0.000000
281474976710655.000000	6.699546	12915	0.000000
281474976710655.000000	6.059069	12916	0.000000
281474976710655.000000	6.629665	12917	0.000000
281474976710655.000000	5.891257	12918	0.000000
281474976710655.000000	6.685383	12919	0.000000
281474976710655.000000	5.632772	12920	0.000000
281474976710655.000000	6.481647	12921	0.000000
281474976710655.000000	5.994716	12922	0.000000
281474976710655.000000	6.125980	12923	0.000000
281474976710655.000000	5.741311	12924	0.000000
281474976710655.000000	5.878913	12925	0.000000
281474976710655.000000	5.696953	12926	0.000000
281474976710655.000000	5.529243	12927	0.000000
281474976710655.000000	5.477888	12928	0.000000
281474976710655.000000	5.196792	12929	0.000000
281474976710655.000000	5.297746	12930	0.000000
281474976710655.000000	4.846761	12931	0.000000
281474976710655.000000	5.373378	12932	0.000000
281474976710655.000000	5.001877	12933	0.000000
281474976710655.000000	4.882672	12934	0.000000
281474976710655.000000	4.494465	12935	0.000000
281474976710655.000000	4.891696	12936	0.000000
281474976710655.000000	4.221752	12937	0.000000
281474976710655.000000	4.691754	12938	0.000000
281474976710655.000000	3.960268	12939	0.000000
281474976710655.000000	4.304271	12940	0.000000
281474976710655.000000	3.707086	12941	0.000000
281474976710655.000000	4.455792	12942	0.000000
281474976710655.000000	3.572723	12943	0.000000
281474976710655.000000	4.271513	12944	0.000000
281474976710655.000000	2.548478	12945	0.000000
281474976710655.000000	4.917652	12946	0.000000
281474976710655.000000	3.150067	12947	0.000000
281474976710655.000000	3.241394	12948	0.000000
281474976710655.000000	3.133320	12949	0.000000
281474976710655.000000	3.731581	12950	0.000000
281474976710655.000000	2.688447	12951	0.000000
281474976710655.000000	3.001068	12952	0.000000
281474976710655.000000	2.641285	12953	0.000000
281474976710655.000000	2.952324	12954	0.000000
281474976710655.000000	2.245214	12955	0.000000
281474976710655.000000	3.408030	12956	0.000000
281474976710655.000000	2.146423	12957	0.000000
281474976710655.000000	2.569504	12958	0.000000
281474976710655.000000	2.006163	12959	0.000000
281474976710655.000000	2.645530	12960	0.000000
281474976710655.000000	1.971308	12961	0.000000
281474976710655.000000	2.400911	12962	0.000000
281474976710655.000000	1.658338	12963	0.000000
281474976710655.000000	2.546232	12964	0.000000
281474976710655.000000	2.257398	12965	0.000000
281474976710655.000000	2.099016	12966	0.000000
281474976710655.000000	1.771488	12967	0.000000
281474976710655.000000	1.887178	12968	0.000000
281474976710655.000000	1.596954	12969	0.000000
281474976710655.000000	1.479289	12970	0.000000
281474976710655.000000	1.448383	12971	0.000000
281474976710655.000000	1.280216	12972	0.000000
281474976710655.000000	1.092168	12973	0.000000
281474976710655.000000	0.714963	12974	0.000000
