num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2159	61811.751558	71.296944	4.064599	3.740260	123.794080
2161	61813.827462	68.952804	3.820076	3.747457	117.317736
2163	61815.895569	66.937271	3.677528	3.742143	106.673185
2165	61817.963594	63.857725	3.768561	3.735457	94.852025
2167	61820.036529	61.477522	3.729938	3.742784	95.209748
2169	61822.111809	59.140511	3.588477	3.745402	82.337384
2171	61824.183306	57.036772	3.509213	3.744488	78.488055
2173	61826.254414	54.929736	3.442832	3.745626	70.550748
2175	61828.323693	52.692861	3.391534	3.743363	67.182044
2177	61830.394181	50.583530	3.339499	3.743235	62.165116
2179	61832.466207	48.198296	3.294662	3.742766	55.851927
2181	61834.538373	46.235609	3.233399	3.740092	52.619987
2183	61836.608922	44.657743	3.177078	3.735439	47.635725
2185	61838.678043	43.013514	3.139656	3.737350	46.588502
2187	61840.744081	41.221158	3.020290	3.744464	41.412353
2189	61842.812028	38.920638	2.877185	3.748058	37.499013
2191	61844.889159	37.254493	2.746008	3.738834	35.229946
2193	61846.965516	36.083768	2.785273	3.730401	31.217648
2195	61849.026039	34.737175	2.710607	3.741528	28.790669
2197	61851.095648	32.634584	2.452058	3.750380	26.809340
2199	61853.176689	30.994754	2.344308	3.733440	24.808650
2201	61855.250038	30.150014	2.413078	3.728049	22.887422
2203	61857.308025	28.777207	2.275284	3.747208	21.046416
2205	61859.380392	27.117407	2.040259	3.745156	18.663169
2207	61861.463715	25.824840	2.002073	3.731467	17.650822
2209	61863.537106	24.907073	2.020003	3.725965	15.891735
2211	61865.597958	23.967105	1.880194	3.736789	13.479502
2213	61867.662001	22.441740	1.749346	3.745545	12.203809
2215	61869.731636	21.412180	1.647503	3.741440	12.438781
2217	61871.810964	20.298198	1.585944	3.738869	10.993176
2219	61873.889000	19.500353	1.531473	3.737192	9.207192
2221	61875.965017	18.629382	1.485674	3.740012	9.314023
2223	61878.035010	17.779956	1.394629	3.738282	7.357907
2225	61880.107273	16.886939	1.319553	3.739759	7.728133
2227	61882.175077	16.279470	1.246554	3.735701	6.792362
2229	61884.235046	15.630830	1.174310	3.725157	5.727939
2231	61886.300290	14.841287	1.134383	3.720776	4.970757
2233	61888.371066	13.953657	1.107008	3.721227	5.074366
2235	61890.457061	13.382548	1.020943	3.735665	4.714858
2237	61892.550083	12.469511	0.982374	3.770306	3.123689
2239	61894.615040	12.387859	0.858441	3.757455	2.932545
2241	61896.662785	11.958272	0.843594	3.716890	3.713394
2243	61898.724430	11.167711	0.884491	3.709387	3.036884
2245	61900.823647	10.440287	0.797410	3.739552	2.749746
2247	61902.918491	4.944173	1.412037	4.003956	3.002506
2249	61907.025750	0.694222	-0.223081	3.074898	2.302927
2251	61912.039549	0.000000	2.399918	2.235573	2.506749
2253	61916.132187	0.328082	-0.244476	4.907453	1.622948
2255	61920.277114	0.606588	0.006360	3.792430	0.777531
2255	61920.277114	0.606588	0.006360	3.792430	1.548557
2255	61920.277114	0.606588	0.006360	3.792430	1.548557
2255	61920.277114	0.606588	0.006360	3.792430	1.548557
2255	61920.277114	0.606588	0.006360	3.792430	1.548557
2255	61920.277114	0.606588	0.006360	3.792430	1.548557
