num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3311	63712.174166	75.576181	2.800427	0.570382	116.386746
3313	63714.242437	74.020975	2.838560	0.570100	106.315681
3315	63716.311268	72.684805	2.791392	0.570873	109.710023
3317	63718.381519	71.478746	2.782172	0.573746	103.728752
3319	63720.451973	69.952981	2.774318	0.575162	96.630658
3321	63722.522193	69.015426	2.731644	0.578093	99.510201
3323	63724.592142	67.422385	2.712303	0.578030	93.508247
3325	63726.661149	66.341423	2.699030	0.577703	91.696713
3327	63728.730346	64.702277	2.646295	0.577036	87.682582
3329	63730.798014	63.600648	2.624584	0.574659	87.276059
3331	63732.866260	62.319358	2.635120	0.576083	81.318761
3333	63734.934247	61.351607	2.604738	0.575031	77.717023
3335	63737.001763	59.755613	2.615231	0.576877	76.592135
3337	63739.070239	58.633471	2.554782	0.574627	71.845216
3339	63741.138541	57.459076	2.548392	0.574308	67.448139
3341	63743.206711	56.331500	2.512561	0.574938	65.485856
3343	63745.275482	55.257134	2.484116	0.575069	62.809406
3345	63747.342916	53.941651	2.452676	0.575346	59.860993
3347	63749.410731	52.560018	2.435467	0.575204	58.031017
3349	63751.476394	52.023176	2.412290	0.577139	56.520623
3351	63753.541512	50.581124	2.385554	0.578375	53.460236
3353	63755.608038	49.409937	2.414662	0.578706	50.161351
3355	63757.673251	48.460865	2.361410	0.579435	48.270471
3357	63759.738689	47.471360	2.344647	0.580130	45.407493
3359	63761.804608	46.396834	2.301236	0.580301	44.117536
3361	63763.871143	45.266097	2.302994	0.581603	42.792342
3363	63765.940396	44.345657	2.267911	0.582017	41.568411
3365	63768.010157	43.302065	2.218179	0.581422	40.504417
3367	63770.079074	42.431594	2.210224	0.579748	37.889993
3369	63772.148291	41.402286	2.172405	0.578597	36.834239
3371	63774.219541	40.472488	2.145538	0.577809	34.006541
3373	63776.285395	39.750718	2.127369	0.576294	32.876847
3375	63778.356057	38.597268	2.080218	0.577129	31.942943
3377	63780.424333	38.001082	2.047218	0.576563	29.342242
3379	63782.492072	37.039307	2.013640	0.577198	28.476232
3381	63784.559629	36.347343	1.981262	0.578268	27.216089
3383	63786.626538	35.400579	1.943393	0.577424	26.129312
3385	63788.692587	34.712988	1.912763	0.577420	24.680838
3387	63790.757165	33.839851	1.867252	0.575937	23.899150
3389	63792.821482	33.170594	1.815320	0.575651	23.066110
3391	63794.886870	32.361937	1.772293	0.574021	21.941585
3393	63796.950996	31.547252	1.740383	0.570368	20.966944
3395	63799.015729	30.814759	1.679419	0.567310	20.339227
3397	63801.080195	30.117376	1.626135	0.564930	19.097233
3399	63803.147484	29.097355	1.609477	0.562447	18.156888
3401	63805.217527	28.461364	1.577201	0.565249	17.614718
3403	63807.287615	27.919505	1.557434	0.566339	16.840671
3405	63809.357020	27.229658	1.482509	0.570958	15.998665
3407	63811.427772	26.492186	1.510690	0.570806	14.432324
3409	63813.499587	26.099627	1.454835	0.572019	14.713830
3411	63815.569689	25.595994	1.418802	0.571830	14.517922
3413	63817.637454	24.865443	1.375674	0.571620	13.378628
3415	63819.708833	24.299744	1.358668	0.571025	13.283388
3417	63821.772713	23.671570	1.302784	0.570906	11.547912
3419	63823.848946	23.324055	1.270690	0.568874	11.917653
3421	63825.914741	22.693994	1.229375	0.566508	11.747071
3423	63827.974821	22.311581	1.237128	0.565475	10.293816
3425	63830.043739	21.724638	1.186723	0.561737	10.025641
3427	63832.115338	21.056395	1.137530	0.566463	9.082405
3429	63834.178236	20.402630	1.106553	0.561986	8.951733
3431	63836.239700	20.242332	1.077687	0.557800	8.268553
3433	63838.298568	19.617000	1.034999	0.557630	8.091687
3435	63840.363387	19.134370	1.020589	0.556994	7.714157
3437	63842.423823	18.717868	0.979224	0.556356	7.432538
3439	63844.483141	18.164967	0.943031	0.555874	6.987000
3441	63846.544440	17.566572	0.907183	0.554262	6.232798
3443	63848.601703	16.872865	0.876524	0.550159	6.413383
3445	63850.666610	16.566224	0.912931	0.542018	5.873202
3447	63852.742762	16.296373	0.836916	0.558246	6.608736
3451	63856.877079	15.439752	0.787659	0.556403	5.360917
3453	63858.945024	15.307504	0.773562	0.551190	5.471390
3455	63861.014988	14.643304	0.737309	0.551367	5.277547
3457	63863.084336	14.572175	0.727360	0.551963	4.742415
3459	63865.158400	14.229484	0.695565	0.554268	4.719021
3461	63867.227205	13.879462	0.691065	0.552056	4.295641
3463	63869.293906	13.609407	0.665370	0.552079	3.657516
3465	63871.379114	13.385346	0.654944	0.559335	3.678439
3467	63873.424463	12.812541	0.636313	0.550611	3.424378
3469	63875.486285	12.487060	0.613321	0.546688	3.391328
3471	63877.545541	11.826114	0.597185	0.541753	2.260760
3473	63879.605229	11.716655	0.569969	0.537488	3.152740
3475	63881.660951	11.356033	0.527858	0.537993	2.760231
3477	63883.725082	11.204605	0.493701	0.536374	1.835066
3479	63885.789066	10.252617	0.285690	0.547013	2.697634
3481	63889.903143	1.989361	0.180383	0.451715	1.948789
3483	63894.034439	0.156219	-0.473365	-0.980397	1.883707
3485	63898.181027	0.018854	-0.359289	-0.961567	1.728744
3487	63902.331161	0.067811	0.379727	2.267680	1.343586
3489	63906.457104	0.454394	4.054871	-0.903362	1.469722
3491	63910.610304	0.182396	2.442277	2.183745	1.632319
3493	63914.741148	0.123301	-0.028336	0.407390	1.072301
3495	63918.866993	0.113307	-0.077607	-0.245744	0.946839
3497	63922.972855	0.127582	-0.229703	-0.663767	1.011853
3499	63927.081725	0.009858	-0.250876	-1.005395	1.082161
3501	63931.187140	0.322905	-0.032169	0.791132	0.828994
3503	63935.257083	0.141678	0.299672	2.206758	0.054912
3505	63939.343112	0.210062	0.176962	2.206155	0.573171
3505	63939.343112	0.210062	0.176962	2.206155	0.144945
3505	63939.343112	0.210062	0.176962	2.206155	0.144945
