num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5457	66336.015727	78.760037	-4.389108	3.758962	104.417280
5459	66338.083306	78.420478	-4.425443	3.755014	100.583693
5461	66340.144678	77.775727	-4.513020	3.750743	101.004532
5465	66344.271227	76.211560	-4.335526	3.742068	84.375906
5467	66346.338736	74.909953	-4.307110	3.744343	85.986145
5469	66348.405771	74.613135	-4.330299	3.747310	90.576798
5471	66350.474068	74.107842	-4.340338	3.746930	90.167785
5473	66352.542063	73.628518	-4.346599	3.746164	81.890792
5475	66354.607440	73.192504	-4.310704	3.743133	86.813262
5477	66356.672568	72.335137	-4.291083	3.742954	86.196737
5479	66358.736787	71.828758	-4.280992	3.741722	84.162586
5481	66360.800516	71.329587	-4.277543	3.741425	84.175622
5483	66362.864616	70.428862	-4.282092	3.741121	79.102472
5485	66364.929880	69.826967	-4.247254	3.741081	77.056758
5487	66366.996115	69.162681	-4.188010	3.743516	78.278018
5489	66369.063955	68.410765	-4.258173	3.740711	79.460822
5491	66371.135570	67.449062	-4.193890	3.734477	74.962550
5493	66373.204697	67.514366	-4.100912	3.728829	74.333898
5495	66375.268151	67.058419	-4.007761	3.729724	70.274679
5497	66377.328663	66.460172	-4.062735	3.735358	71.169734
5499	66379.389883	65.687159	-4.107717	3.739605	70.604148
5501	66381.456443	64.587439	-4.122510	3.741006	68.329254
5503	66383.527347	64.075232	-4.090981	3.736876	67.870424
5505	66385.597225	63.360661	-4.010691	3.729821	68.170232
5507	66387.665341	62.993696	-3.946583	3.726001	68.037036
5509	66389.730982	62.596367	-3.953299	3.726451	65.026638
5511	66391.794904	62.149342	-3.947693	3.727938	65.391805
5513	66393.857562	61.442970	-3.928149	3.728746	62.220939
5515	66395.921618	60.746754	-3.944457	3.729281	61.536056
5517	66397.985605	59.890873	-3.907654	3.727137	59.130672
5519	66400.051073	59.295616	-3.890391	3.726705	58.107522
5521	66402.117315	58.949808	-3.883910	3.725121	57.290559
5523	66404.183653	58.454475	-3.833243	3.726493	56.143308
5525	66406.251562	57.490122	-3.816136	3.725781	55.037088
5527	66408.320522	57.190261	-3.811176	3.726367	51.890058
5529	66410.388308	56.716500	-3.803059	3.726651	54.246217
5531	66412.456187	55.985135	-3.780832	3.726390	52.188409
5533	66414.521499	55.622210	-3.795335	3.725673	50.633889
5535	66416.582099	55.268740	-3.734422	3.722725	50.011202
5537	66418.643251	54.609761	-3.705383	3.717634	49.451049
5539	66420.706227	53.980530	-3.634263	3.712429	48.288002
5541	66422.771206	52.801208	-3.613245	3.709609	45.609814
5543	66424.840642	52.366302	-3.586451	3.715655	46.792294
5545	66426.912315	52.112414	-3.603634	3.720662	46.356535
5547	66428.981285	51.904242	-3.642088	3.720816	44.570656
