num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1945	61188.257785	74.779082	1.695699	0.598499	124.380503
1947	61190.327141	72.647920	1.657808	0.598807	138.098919
1949	61192.397487	70.167181	1.629872	0.596103	115.504920
1951	61194.466119	67.963634	1.594018	0.596854	112.099025
1953	61196.535439	65.297607	1.562133	0.600046	96.151568
1955	61198.603112	62.438360	1.524539	0.602798	97.195486
1957	61200.672130	59.830911	1.498865	0.602380	84.027325
1959	61202.742009	57.643434	1.439981	0.600688	80.073542
1961	61204.814513	55.484449	1.423950	0.600108	73.061443
1963	61206.885058	52.892569	1.388813	0.601013	71.627090
1965	61208.958696	50.820238	1.398193	0.600596	63.914811
1967	61211.029017	48.543621	1.348433	0.599599	59.632217
1969	61213.099819	46.652632	1.311822	0.598673	53.274817
1971	61215.169996	44.757157	1.290262	0.597324	49.674886
1973	61217.240630	42.835698	1.256161	0.597119	44.629060
1975	61219.309605	40.873385	1.205677	0.597814	42.856809
1977	61221.379219	39.088441	1.191590	0.597704	37.249101
1979	61223.448859	37.433266	1.144011	0.597878	34.836671
1981	61225.519144	35.733014	1.088003	0.597950	31.508990
1983	61227.588904	34.020692	1.045063	0.597114	29.692241
1985	61229.658492	32.419374	1.005859	0.598649	26.621566
1987	61231.728434	31.178112	0.957089	0.598255	25.025636
1989	61233.799911	29.657966	0.899863	0.599284	22.425158
1991	61235.867837	28.499546	0.873692	0.599869	20.376978
1993	61237.935030	27.343643	0.829729	0.597596	18.479803
1995	61240.001633	25.975854	0.780693	0.594707	17.003234
1997	61242.066049	24.691855	0.729363	0.590855	15.056735
1999	61244.132019	23.559562	0.710732	0.588054	14.530848
2001	61246.196202	22.447334	0.691255	0.586289	12.554181
2003	61248.263225	21.430822	0.636281	0.585584	11.353689
2005	61250.334012	20.440629	0.592237	0.588587	10.222102
2007	61252.402261	19.381458	0.574112	0.585765	9.987314
2009	61254.476051	18.588113	0.540362	0.586688	9.513737
2011	61256.546611	17.714167	0.506651	0.590228	7.785161
2013	61258.622104	16.849766	0.490233	0.582832	7.228063
2015	61260.689331	16.061014	0.467289	0.588156	7.429131
2017	61262.763522	15.438104	0.444459	0.583288	6.600750
2019	61264.834658	14.846089	0.396154	0.587211	5.423263
2021	61266.907024	14.234454	0.386742	0.587349	4.970150
2023	61268.974505	13.510805	0.356907	0.583388	4.739139
2025	61271.043550	12.926985	0.341562	0.583802	3.347127
2027	61273.107060	12.397915	0.314985	0.583743	3.554278
2029	61275.169743	11.909778	0.282070	0.575031	3.809697
2031	61277.238311	11.242331	0.275069	0.579654	3.357766
2033	61279.304817	10.592535	0.273002	0.581072	2.657661
2035	61281.363966	10.155071	0.254640	0.584950	2.450820
2037	61283.422391	9.487572	0.211941	0.585159	2.290120
2039	61287.532181	0.246618	2.008955	2.232595	1.782960
2041	61291.668933	0.193419	-0.062439	1.925545	1.104152
2043	61295.811073	0.602317	0.114669	3.475275	1.637691
2043	61295.811073	0.602377	0.114513	3.475593	0.812278
2043	61295.811073	0.602341	0.114603	3.475428	1.752087
2043	61295.811073	0.602381	0.114484	3.475647	1.752087
2043	61295.811073	0.602260	0.114843	3.475003	1.752087
2043	61295.811073	0.602269	0.114817	3.475050	1.752087
2043	61295.811073	7.770438	0.382598	3.701840	1.752087
2043	61295.811073	7.482074	0.324096	3.679132	1.752087
2043	61295.811073	7.482074	0.324096	3.679132	1.752087
2043	61295.811073	7.482074	0.324096	3.679132	1.752087
2043	61295.811073	2.437345	0.118019	3.655641	1.752087
