crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	1945	0.000000
281474976710655.000000	133.670166	1946	0.000000
281474976710655.000000	Inf	1947	0.000000
281474976710655.000000	107.533401	1948	0.000000
281474976710655.000000	Inf	1949	0.000000
281474976710655.000000	115.336067	1950	0.000000
281474976710655.000000	208.252457	1951	0.000000
281474976710655.000000	97.088150	1952	0.000000
281474976710655.000000	Inf	1953	0.000000
281474976710655.000000	92.604836	1954	0.000000
281474976710655.000000	92.133194	1955	0.000000
281474976710655.000000	82.657516	1956	0.000000
281474976710655.000000	41.076775	1957	0.000000
281474976710655.000000	52.516384	1958	0.000000
281474976710655.000000	36.488914	1959	0.000000
281474976710655.000000	69.238846	1960	0.000000
281474976710655.000000	33.971992	1961	0.000000
281474976710655.000000	146.961990	1962	0.000000
281474976710655.000000	64.390022	1963	0.000000
281474976710655.000000	70.656425	1964	0.000000
281474976710655.000000	64.810883	1965	0.000000
281474976710655.000000	55.545322	1966	0.000000
281474976710655.000000	53.374210	1967	0.000000
281474976710655.000000	59.217205	1968	0.000000
281474976710655.000000	38.780758	1969	0.000000
281474976710655.000000	40.795223	1970	0.000000
281474976710655.000000	36.263973	1971	0.000000
281474976710655.000000	46.941151	1972	0.000000
281474976710655.000000	37.560471	1973	0.000000
281474976710655.000000	44.399281	1974	0.000000
281474976710655.000000	38.919056	1975	0.000000
281474976710655.000000	39.690102	1976	0.000000
281474976710655.000000	31.268766	1977	0.000000
281474976710655.000000	33.925007	1978	0.000000
281474976710655.000000	27.286390	1979	0.000000
281474976710655.000000	31.198475	1980	0.000000
281474976710655.000000	26.937981	1981	0.000000
281474976710655.000000	33.215279	1982	0.000000
281474976710655.000000	27.301060	1983	0.000000
281474976710655.000000	29.387426	1984	0.000000
281474976710655.000000	25.809265	1985	0.000000
281474976710655.000000	23.502346	1986	0.000000
281474976710655.000000	20.909393	1987	0.000000
281474976710655.000000	21.392960	1988	0.000000
281474976710655.000000	21.422718	1989	0.000000
281474976710655.000000	19.000999	1990	0.000000
281474976710655.000000	17.843967	1991	0.000000
281474976710655.000000	17.595779	1992	0.000000
281474976710655.000000	17.105301	1993	0.000000
281474976710655.000000	17.045948	1994	0.000000
281474976710655.000000	14.755899	1995	0.000000
281474976710655.000000	14.754317	1996	0.000000
281474976710655.000000	14.688678	1997	0.000000
281474976710655.000000	14.128695	1998	0.000000
281474976710655.000000	12.126023	1999	0.000000
281474976710655.000000	12.128298	2000	0.000000
281474976710655.000000	11.939301	2001	0.000000
281474976710655.000000	10.882878	2002	0.000000
281474976710655.000000	10.317025	2003	0.000000
281474976710655.000000	10.027753	2004	0.000000
281474976710655.000000	9.674460	2005	0.000000
281474976710655.000000	9.443033	2006	0.000000
281474976710655.000000	8.691999	2007	0.000000
281474976710655.000000	8.749369	2008	0.000000
281474976710655.000000	7.673700	2009	0.000000
281474976710655.000000	7.595487	2010	0.000000
281474976710655.000000	7.325258	2011	0.000000
281474976710655.000000	6.823659	2012	0.000000
281474976710655.000000	6.670985	2013	0.000000
281474976710655.000000	6.311206	2014	0.000000
281474976710655.000000	5.983502	2015	0.000000
281474976710655.000000	5.624725	2016	0.000000
281474976710655.000000	5.529367	2017	0.000000
281474976710655.000000	5.210988	2018	0.000000
281474976710655.000000	4.939939	2019	0.000000
281474976710655.000000	4.619424	2020	0.000000
281474976710655.000000	4.472748	2021	0.000000
281474976710655.000000	4.289968	2022	0.000000
281474976710655.000000	4.064105	2023	0.000000
281474976710655.000000	3.853437	2024	0.000000
281474976710655.000000	3.707147	2025	0.000000
281474976710655.000000	3.524334	2026	0.000000
281474976710655.000000	3.305589	2027	0.000000
281474976710655.000000	3.133810	2028	0.000000
281474976710655.000000	3.036644	2029	0.000000
281474976710655.000000	2.847343	2030	0.000000
281474976710655.000000	2.672256	2031	0.000000
281474976710655.000000	2.524929	2032	0.000000
281474976710655.000000	2.419254	2033	0.000000
281474976710655.000000	2.264346	2034	0.000000
281474976710655.000000	2.121222	2035	0.000000
281474976710655.000000	1.998853	2036	0.000000
281474976710655.000000	1.462244	2037	0.000000
281474976710655.000000	1.667059	2038	0.000000
281474976710655.000000	1.518271	2039	0.000000
281474976710655.000000	1.412330	2040	0.000000
281474976710655.000000	1.299439	2041	0.000000
281474976710655.000000	1.167384	2042	0.000000
281474976710655.000000	1.090625	2043	0.000000
