num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
11127	83761.600018	0.000000	0.389477	5.080756	2.567370
11129	83816.873269	0.120438	-2.077542	5.463166	2.567370
11131	83818.823778	1.594581	-57.715020	5.379816	0.665386
11133	83820.809263	1.247896	-49.479422	5.389067	1.204228
11135	83822.893742	1.532660	-40.984330	5.386916	4.644110
11137	83824.965329	1.141482	-33.699604	5.380941	8.380797
11139	83827.035179	0.630796	-27.180409	5.379290	10.647268
11141	83829.112160	0.513604	-21.975142	5.377798	8.767021
11143	83831.185243	0.506687	-17.793482	-0.905576	7.332185
11145	83833.259911	0.503562	-13.321559	-0.900176	6.154629
11147	83835.335296	0.495264	-10.912550	-0.906010	4.407431
11149	83837.427603	0.324767	-3.920495	5.355827	2.451093
