crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	103.007385	1505	0.000000
281474976710655.000000	Inf	1506	0.000000
281474976710655.000000	89.686096	1507	0.000000
281474976710655.000000	89.476921	1508	0.000000
281474976710655.000000	49.127693	1509	0.000000
281474976710655.000000	66.393021	1510	0.000000
281474976710655.000000	37.986950	1511	0.000000
281474976710655.000000	47.734673	1512	0.000000
281474976710655.000000	39.964703	1513	0.000000
281474976710655.000000	34.712105	1514	0.000000
281474976710655.000000	48.529800	1515	0.000000
281474976710655.000000	51.572823	1516	0.000000
281474976710655.000000	30.025623	1517	0.000000
281474976710655.000000	33.853130	1518	0.000000
281474976710655.000000	30.472977	1519	0.000000
281474976710655.000000	27.014753	1520	0.000000
281474976710655.000000	22.004934	1521	0.000000
281474976710655.000000	22.445564	1522	0.000000
281474976710655.000000	19.956150	1523	0.000000
281474976710655.000000	17.874666	1524	0.000000
281474976710655.000000	16.105848	1525	0.000000
281474976710655.000000	14.686568	1526	0.000000
281474976710655.000000	14.235308	1527	0.000000
281474976710655.000000	11.959352	1528	0.000000
281474976710655.000000	11.112979	1529	0.000000
281474976710655.000000	10.956985	1530	0.000000
281474976710655.000000	8.439193	1531	0.000000
281474976710655.000000	7.763577	1532	0.000000
281474976710655.000000	7.203809	1533	0.000000
281474976710655.000000	6.469764	1534	0.000000
281474976710655.000000	6.027125	1535	0.000000
281474976710655.000000	4.399833	1536	0.000000
281474976710655.000000	6.105972	1537	0.000000
281474976710655.000000	4.718654	1538	0.000000
281474976710655.000000	3.685920	1539	0.000000
281474976710655.000000	3.538139	1540	0.000000
281474976710655.000000	2.620570	1541	0.000000
281474976710655.000000	2.727636	1542	0.000000
281474976710655.000000	2.201298	1543	0.000000
281474976710655.000000	2.172449	1544	0.000000
281474976710655.000000	1.576313	1545	0.000000
281474976710655.000000	1.425083	1546	0.000000
281474976710655.000000	1.282688	1547	0.000000
281474976710655.000000	1.136984	1548	0.000000
281474976710655.000000	0.643401	1549	0.000000
281474976710655.000000	0.761458	1550	0.000000
