num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1857	60997.022689	69.939770	2.166830	3.779931	125.300037
1859	60999.095323	66.222226	2.090641	3.780265	111.706692
1861	61001.171186	62.900063	2.038688	3.780183	99.959587
1863	61003.242119	59.177349	2.000986	3.783116	93.165163
1865	61005.314754	56.143351	1.955031	3.781963	83.559764
1867	61007.386587	52.870770	1.894197	3.781945	67.227138
1869	61009.458563	49.957145	1.864107	3.780083	65.599797
1871	61011.529728	47.115918	1.816144	3.779180	55.913661
1873	61013.601207	44.136929	1.763602	3.776709	51.055394
1875	61015.673126	41.457368	1.702098	3.775897	47.722699
1877	61017.745044	38.500836	1.623463	3.772677	39.868777
1879	61019.815101	36.633091	1.564046	3.772501	36.275654
1881	61021.884037	34.527501	1.474986	3.774839	30.959764
1883	61023.953965	32.435044	1.371373	3.777718	29.472660
1885	61026.022639	30.194372	1.288167	3.776230	25.029732
1887	61028.096974	28.207964	1.189488	3.773191	22.067951
1889	61030.175299	26.448783	1.130168	3.769280	19.549685
1891	61032.255399	24.729921	1.073332	3.764552	17.220068
1893	61034.323613	23.299932	1.032375	3.763018	14.982816
1895	61036.393610	21.793264	0.953144	3.765006	12.424955
1897	61038.456108	20.372749	0.882475	3.772344	12.073008
1899	61040.526048	18.930981	0.807408	3.774363	8.981837
1901	61042.597016	17.730290	0.740061	3.773911	8.926359
1903	61044.673163	16.521337	0.695048	3.770286	7.138334
1905	61046.747188	15.417848	0.653258	3.762754	6.505727
1907	61048.828342	14.598258	0.613520	3.763902	7.067035
1909	61050.908262	13.525920	0.579962	3.766369	5.339279
1911	61052.982467	12.738297	0.533195	3.766940	4.466558
1913	61055.054283	11.816825	0.498705	3.773217	4.139424
1915	61057.126325	10.944651	0.455203	3.771016	3.589835
1917	61059.203919	10.334929	0.414252	3.773423	3.048579
1919	61061.269111	9.913480	0.371869	3.764750	2.138938
1921	61063.338997	4.929193	0.247071	3.819931	1.756769
1923	61068.417864	1.402028	1.126324	3.046666	1.539879
1923	61068.417864	1.403234	1.129573	3.045523	0.862601
1923	61068.417864	1.403501	1.129161	3.045793	0.862601
1923	61068.417864	1.404560	1.127522	3.046880	0.862601
1923	61068.417864	1.404046	1.128319	3.046353	0.862601
1923	61068.417864	1.402864	1.130143	3.045140	0.862601
1923	61068.417864	7.312859	3.271600	4.167672	0.862601
