crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	96.364616	1859	0.000000
281474976710655.000000	94.800758	1860	0.000000
281474976710655.000000	48.541008	1861	0.000000
281474976710655.000000	59.725246	1862	0.000000
281474976710655.000000	86.505814	1863	0.000000
281474976710655.000000	49.391022	1864	0.000000
281474976710655.000000	70.090652	1865	0.000000
281474976710655.000000	49.645523	1866	0.000000
281474976710655.000000	68.479973	1867	0.000000
281474976710655.000000	61.594013	1868	0.000000
281474976710655.000000	60.906483	1869	0.000000
281474976710655.000000	55.766888	1870	0.000000
281474976710655.000000	72.591957	1871	0.000000
281474976710655.000000	70.128685	1872	0.000000
281474976710655.000000	49.580643	1873	0.000000
281474976710655.000000	33.230824	1874	0.000000
281474976710655.000000	34.319916	1875	0.000000
281474976710655.000000	38.900448	1876	0.000000
281474976710655.000000	30.645300	1877	0.000000
281474976710655.000000	40.209278	1878	0.000000
281474976710655.000000	36.647739	1879	0.000000
281474976710655.000000	26.290543	1880	0.000000
281474976710655.000000	30.910540	1881	0.000000
281474976710655.000000	23.214272	1882	0.000000
281474976710655.000000	25.375019	1883	0.000000
281474976710655.000000	23.137131	1884	0.000000
281474976710655.000000	22.633961	1885	0.000000
281474976710655.000000	18.708626	1886	0.000000
281474976710655.000000	19.464985	1887	0.000000
281474976710655.000000	17.181301	1888	0.000000
281474976710655.000000	17.495275	1889	0.000000
281474976710655.000000	15.665767	1890	0.000000
281474976710655.000000	14.545160	1891	0.000000
281474976710655.000000	13.850035	1892	0.000000
281474976710655.000000	12.584788	1893	0.000000
281474976710655.000000	12.112787	1894	0.000000
281474976710655.000000	11.671414	1895	0.000000
281474976710655.000000	10.984865	1896	0.000000
281474976710655.000000	9.592874	1897	0.000000
281474976710655.000000	9.291388	1898	0.000000
281474976710655.000000	9.140554	1899	0.000000
281474976710655.000000	7.767026	1900	0.000000
281474976710655.000000	7.402907	1901	0.000000
281474976710655.000000	6.931372	1902	0.000000
281474976710655.000000	6.488558	1903	0.000000
281474976710655.000000	6.520718	1904	0.000000
281474976710655.000000	6.198623	1905	0.000000
281474976710655.000000	5.138969	1906	0.000000
281474976710655.000000	4.960314	1907	0.000000
281474976710655.000000	4.551673	1908	0.000000
281474976710655.000000	4.225977	1909	0.000000
281474976710655.000000	3.952705	1910	0.000000
281474976710655.000000	3.625284	1911	0.000000
281474976710655.000000	3.307446	1912	0.000000
281474976710655.000000	3.127800	1913	0.000000
281474976710655.000000	2.888535	1914	0.000000
281474976710655.000000	2.649920	1915	0.000000
281474976710655.000000	2.489039	1916	0.000000
281474976710655.000000	2.243657	1917	0.000000
281474976710655.000000	2.117446	1918	0.000000
281474976710655.000000	1.989112	1919	0.000000
281474976710655.000000	1.819293	1920	0.000000
281474976710655.000000	1.154258	1921	0.000000
281474976710655.000000	1.323796	1922	0.000000
281474976710655.000000	1.027777	1923	0.000000
