crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	62.810604	1215	0.000000
281474976710655.000000	41.492760	1216	0.000000
281474976710655.000000	34.418602	1217	0.000000
281474976710655.000000	27.341850	1218	0.000000
281474976710655.000000	23.629131	1219	0.000000
281474976710655.000000	18.313622	1220	0.000000
281474976710655.000000	15.814428	1221	0.000000
281474976710655.000000	11.638481	1222	0.000000
281474976710655.000000	9.094141	1223	0.000000
281474976710655.000000	7.271310	1224	0.000000
281474976710655.000000	5.155875	1225	0.000000
281474976710655.000000	4.100226	1226	0.000000
281474976710655.000000	3.080200	1227	0.000000
281474976710655.000000	2.379764	1228	0.000000
281474976710655.000000	1.160115	1229	0.000000
281474976710655.000000	1.472271	1230	0.000000
