crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	48.563900	3117	0.000000
281474976710655.000000	47.288132	3118	0.000000
281474976710655.000000	83.216019	3119	0.000000
281474976710655.000000	93.544350	3120	0.000000
281474976710655.000000	88.497520	3121	0.000000
281474976710655.000000	84.233345	3122	0.000000
281474976710655.000000	40.216717	3123	0.000000
281474976710655.000000	89.981102	3124	0.000000
281474976710655.000000	173.867935	3125	0.000000
281474976710655.000000	168.346771	3126	0.000000
281474976710655.000000	80.652718	3127	0.000000
281474976710655.000000	80.731743	3128	0.000000
281474976710655.000000	79.710342	3129	0.000000
281474976710655.000000	78.643044	3130	0.000000
281474976710655.000000	76.044647	3131	0.000000
281474976710655.000000	71.184364	3132	0.000000
281474976710655.000000	53.598213	3133	0.000000
281474976710655.000000	48.176205	3134	0.000000
281474976710655.000000	70.616150	3135	0.000000
281474976710655.000000	67.126846	3136	0.000000
281474976710655.000000	63.512894	3137	0.000000
281474976710655.000000	70.673706	3138	0.000000
281474976710655.000000	63.189301	3139	0.000000
281474976710655.000000	46.907345	3140	0.000000
281474976710655.000000	68.674126	3141	0.000000
281474976710655.000000	67.795082	3142	0.000000
281474976710655.000000	95.540886	3143	0.000000
281474976710655.000000	59.109528	3144	0.000000
281474976710655.000000	55.397469	3145	0.000000
281474976710655.000000	38.810459	3146	0.000000
281474976710655.000000	74.253998	3147	0.000000
281474976710655.000000	33.974781	3148	0.000000
281474976710655.000000	44.667591	3149	0.000000
281474976710655.000000	59.359264	3150	0.000000
281474976710655.000000	49.914703	3151	0.000000
281474976710655.000000	48.804523	3152	0.000000
281474976710655.000000	77.981712	3153	0.000000
281474976710655.000000	47.593227	3154	0.000000
281474976710655.000000	45.915657	3155	0.000000
281474976710655.000000	43.971649	3156	0.000000
281474976710655.000000	59.987415	3157	0.000000
281474976710655.000000	41.521469	3158	0.000000
281474976710655.000000	41.921585	3159	0.000000
281474976710655.000000	39.861828	3160	0.000000
281474976710655.000000	33.990391	3161	0.000000
281474976710655.000000	31.305269	3162	0.000000
281474976710655.000000	36.528965	3163	0.000000
281474976710655.000000	44.674057	3164	0.000000
281474976710655.000000	30.690496	3165	0.000000
281474976710655.000000	29.258837	3166	0.000000
281474976710655.000000	33.507988	3167	0.000000
281474976710655.000000	33.799866	3168	0.000000
281474976710655.000000	34.239635	3169	0.000000
281474976710655.000000	36.414124	3170	0.000000
281474976710655.000000	27.819233	3171	0.000000
281474976710655.000000	31.600145	3172	0.000000
281474976710655.000000	34.238319	3173	0.000000
281474976710655.000000	36.076515	3174	0.000000
281474976710655.000000	31.719702	3175	0.000000
281474976710655.000000	29.468487	3176	0.000000
281474976710655.000000	27.828943	3177	0.000000
281474976710655.000000	22.814453	3178	0.000000
281474976710655.000000	26.838539	3179	0.000000
281474976710655.000000	24.707590	3180	0.000000
281474976710655.000000	25.697828	3181	0.000000
281474976710655.000000	23.546629	3182	0.000000
281474976710655.000000	24.687593	3183	0.000000
281474976710655.000000	24.468636	3184	0.000000
281474976710655.000000	24.550459	3185	0.000000
281474976710655.000000	23.161772	3186	0.000000
281474976710655.000000	16.673870	3187	0.000000
281474976710655.000000	22.870173	3188	0.000000
281474976710655.000000	16.710197	3189	0.000000
281474976710655.000000	20.809704	3190	0.000000
281474976710655.000000	18.557339	3191	0.000000
281474976710655.000000	20.020279	3192	0.000000
281474976710655.000000	19.035744	3193	0.000000
281474976710655.000000	17.797037	3194	0.000000
281474976710655.000000	18.356407	3195	0.000000
281474976710655.000000	17.216009	3196	0.000000
281474976710655.000000	17.371399	3197	0.000000
281474976710655.000000	17.491282	3198	0.000000
281474976710655.000000	16.686304	3199	0.000000
281474976710655.000000	16.564581	3200	0.000000
281474976710655.000000	15.373260	3201	0.000000
281474976710655.000000	15.257880	3202	0.000000
281474976710655.000000	14.841599	3203	0.000000
281474976710655.000000	14.611084	3204	0.000000
281474976710655.000000	14.128677	3205	0.000000
281474976710655.000000	13.867972	3206	0.000000
281474976710655.000000	12.790805	3207	0.000000
281474976710655.000000	13.977999	3208	0.000000
281474976710655.000000	13.092793	3209	0.000000
281474976710655.000000	12.594093	3210	0.000000
281474976710655.000000	12.554733	3211	0.000000
281474976710655.000000	11.598435	3212	0.000000
281474976710655.000000	10.894724	3213	0.000000
281474976710655.000000	11.675961	3214	0.000000
281474976710655.000000	11.297003	3215	0.000000
281474976710655.000000	11.154047	3216	0.000000
281474976710655.000000	10.708004	3217	0.000000
281474976710655.000000	10.257477	3218	0.000000
281474976710655.000000	10.479457	3219	0.000000
281474976710655.000000	10.106544	3220	0.000000
281474976710655.000000	9.970798	3221	0.000000
281474976710655.000000	9.043221	3222	0.000000
281474976710655.000000	8.414226	3223	0.000000
281474976710655.000000	9.300081	3224	0.000000
281474976710655.000000	8.684535	3225	0.000000
281474976710655.000000	8.025053	3226	0.000000
281474976710655.000000	8.217548	3227	0.000000
281474976710655.000000	7.829619	3228	0.000000
281474976710655.000000	7.591042	3229	0.000000
281474976710655.000000	7.526898	3230	0.000000
281474976710655.000000	7.237562	3231	0.000000
281474976710655.000000	7.154196	3232	0.000000
281474976710655.000000	7.055315	3233	0.000000
281474976710655.000000	6.919547	3234	0.000000
281474976710655.000000	6.699571	3235	0.000000
281474976710655.000000	6.800456	3236	0.000000
281474976710655.000000	6.815959	3237	0.000000
281474976710655.000000	6.271018	3238	0.000000
281474976710655.000000	6.178502	3239	0.000000
281474976710655.000000	6.193301	3240	0.000000
281474976710655.000000	5.753966	3241	0.000000
281474976710655.000000	6.039846	3242	0.000000
281474976710655.000000	6.002005	3243	0.000000
281474976710655.000000	5.310197	3244	0.000000
281474976710655.000000	5.322195	3245	0.000000
281474976710655.000000	5.463668	3246	0.000000
281474976710655.000000	4.932203	3247	0.000000
281474976710655.000000	5.261757	3248	0.000000
281474976710655.000000	4.685953	3249	0.000000
281474976710655.000000	4.829650	3250	0.000000
281474976710655.000000	4.669611	3251	0.000000
281474976710655.000000	4.528697	3252	0.000000
281474976710655.000000	4.372691	3253	0.000000
281474976710655.000000	4.334207	3254	0.000000
281474976710655.000000	4.160213	3255	0.000000
281474976710655.000000	4.021372	3256	0.000000
281474976710655.000000	3.958686	3257	0.000000
281474976710655.000000	3.768397	3258	0.000000
281474976710655.000000	3.769103	3259	0.000000
281474976710655.000000	3.502327	3260	0.000000
281474976710655.000000	3.515147	3261	0.000000
281474976710655.000000	3.359203	3262	0.000000
281474976710655.000000	3.377047	3263	0.000000
281474976710655.000000	2.996708	3264	0.000000
281474976710655.000000	3.003954	3265	0.000000
281474976710655.000000	2.667552	3266	0.000000
281474976710655.000000	2.675229	3267	0.000000
281474976710655.000000	2.446972	3268	0.000000
281474976710655.000000	2.405376	3269	0.000000
281474976710655.000000	2.364972	3270	0.000000
281474976710655.000000	2.239155	3271	0.000000
281474976710655.000000	2.350185	3272	0.000000
281474976710655.000000	2.216663	3273	0.000000
281474976710655.000000	2.361013	3274	0.000000
281474976710655.000000	2.209343	3275	0.000000
281474976710655.000000	2.252612	3276	0.000000
281474976710655.000000	2.158391	3277	0.000000
281474976710655.000000	2.202154	3278	0.000000
281474976710655.000000	2.106099	3279	0.000000
281474976710655.000000	2.039599	3280	0.000000
281474976710655.000000	2.009200	3281	0.000000
281474976710655.000000	1.683203	3282	0.000000
281474976710655.000000	1.958497	3283	0.000000
281474976710655.000000	1.850686	3284	0.000000
281474976710655.000000	1.754379	3285	0.000000
281474976710655.000000	1.702186	3286	0.000000
281474976710655.000000	1.695569	3287	0.000000
281474976710655.000000	1.627929	3288	0.000000
281474976710655.000000	1.513797	3289	0.000000
281474976710655.000000	1.509687	3290	0.000000
281474976710655.000000	1.313750	3291	0.000000
281474976710655.000000	1.362847	3292	0.000000
281474976710655.000000	1.343075	3293	0.000000
281474976710655.000000	1.226440	3294	0.000000
281474976710655.000000	1.165060	3295	0.000000
281474976710655.000000	1.145979	3296	0.000000
281474976710655.000000	1.168022	3297	0.000000
281474976710655.000000	1.054039	3298	0.000000
281474976710655.000000	0.990879	3299	0.000000
281474976710655.000000	0.706989	3300	0.000000
281474976710655.000000	0.856893	3301	0.000000
281474976710655.000000	0.728578	3302	0.000000
281474976710655.000000	0.727530	3303	0.000000
