crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	93.813416	5072	0.000000
281474976710655.000000	Inf	5073	0.000000
281474976710655.000000	88.564232	5074	0.000000
281474976710655.000000	94.130875	5075	0.000000
281474976710655.000000	63.187130	5076	0.000000
281474976710655.000000	94.386635	5077	0.000000
281474976710655.000000	86.071411	5078	0.000000
281474976710655.000000	88.035431	5079	0.000000
281474976710655.000000	85.870445	5080	0.000000
281474976710655.000000	81.426369	5081	0.000000
281474976710655.000000	80.853256	5082	0.000000
281474976710655.000000	78.249931	5083	0.000000
281474976710655.000000	59.063984	5084	0.000000
281474976710655.000000	43.478836	5085	0.000000
281474976710655.000000	52.569450	5086	0.000000
281474976710655.000000	77.666016	5087	0.000000
281474976710655.000000	83.159714	5088	0.000000
281474976710655.000000	78.974915	5089	0.000000
281474976710655.000000	81.378746	5090	0.000000
281474976710655.000000	Inf	5091	0.000000
281474976710655.000000	76.289070	5092	0.000000
281474976710655.000000	75.448860	5093	0.000000
281474976710655.000000	49.739597	5094	0.000000
281474976710655.000000	81.695969	5095	0.000000
281474976710655.000000	71.387260	5096	0.000000
281474976710655.000000	78.186890	5097	0.000000
281474976710655.000000	71.787498	5098	0.000000
281474976710655.000000	82.494286	5099	0.000000
281474976710655.000000	72.595802	5100	0.000000
281474976710655.000000	54.059177	5101	0.000000
281474976710655.000000	140.916656	5102	0.000000
281474976710655.000000	73.648140	5103	0.000000
281474976710655.000000	44.274639	5104	0.000000
281474976710655.000000	69.003639	5105	0.000000
281474976710655.000000	50.518539	5106	0.000000
281474976710655.000000	69.710487	5107	0.000000
281474976710655.000000	67.843956	5108	0.000000
281474976710655.000000	68.352776	5109	0.000000
281474976710655.000000	64.576096	5110	0.000000
281474976710655.000000	51.170807	5111	0.000000
281474976710655.000000	69.087570	5112	0.000000
281474976710655.000000	64.928467	5113	0.000000
281474976710655.000000	129.777603	5114	0.000000
281474976710655.000000	64.884369	5115	0.000000
281474976710655.000000	58.777267	5116	0.000000
281474976710655.000000	62.125713	5117	0.000000
281474976710655.000000	63.765339	5118	0.000000
281474976710655.000000	60.739754	5119	0.000000
