num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4911	65745.551844	10.722529	1.935462	1.066849	0.832311
4913	65748.279133	79.419966	0.162139	0.543587	112.747348
4915	65750.353291	79.351728	-0.394670	0.564278	114.547199
4917	65752.411613	77.794259	-0.209739	0.537784	111.946379
4919	65754.485016	76.765272	0.063003	0.563113	107.967491
4921	65756.548482	77.187265	-0.482306	0.550152	97.314174
4923	65758.610640	75.109334	-0.061060	0.538330	98.010763
4925	65760.684487	74.211524	-0.106931	0.557354	103.829317
4927	65762.752046	74.064310	-0.257918	0.555727	97.741704
4929	65764.813876	73.663235	-0.270952	0.545076	89.337920
4931	65766.877130	72.291526	-0.184073	0.542007	91.184347
4933	65768.942555	71.440018	-0.195166	0.544969	88.144319
4935	65771.009000	70.884362	-0.156003	0.545876	85.789066
4937	65773.075608	70.038223	-0.180208	0.547872	85.254506
4939	65775.142182	69.225178	-0.178851	0.550467	84.410100
4941	65777.209215	68.363760	-0.206276	0.551595	84.865450
4943	65779.280889	67.127115	-0.291944	0.545054	78.274407
4945	65781.351894	66.837719	-0.217141	0.534999	81.793907
4947	65783.413196	66.693509	-0.029050	0.544672	79.360593
4949	65785.472704	65.374607	-0.098256	0.559725	72.369477
4951	65787.547227	63.704084	-0.476280	0.542119	73.536529
4953	65789.616672	64.264119	-0.043694	0.535490	73.111910
4955	65791.673028	63.401454	-0.033371	0.560202	69.915740
4957	65793.746321	61.638934	-0.473767	0.544327	69.151096
4959	65795.815501	62.040003	0.023887	0.537716	67.614309
4961	65797.871896	60.846670	-0.082932	0.561797	66.827327
4963	65799.946622	59.430321	-0.467815	0.542524	65.845763
4965	65802.014631	60.275128	-0.020685	0.536789	63.722461
4967	65804.071427	59.065393	-0.128797	0.557973	60.487830
4969	65806.140655	57.159476	-0.332052	0.553212	60.858115
4971	65808.214536	56.741254	-0.175682	0.535046	60.236163
4973	65810.278281	56.843380	-0.059025	0.543824	57.988093
4975	65812.338303	55.910819	-0.091669	0.551612	55.539697
4977	65814.401703	55.313630	-0.141881	0.552984	53.970221
4979	65816.468934	54.633087	-0.184863	0.550818	52.392843
4981	65818.537234	53.728818	-0.157290	0.549100	52.504014
4983	65820.603850	52.860539	-0.137469	0.547863	51.581029
4985	65822.668621	52.380965	-0.131995	0.544788	49.321890
4987	65824.733089	51.466003	-0.139800	0.543315	48.304410
4989	65826.797595	50.886086	-0.179523	0.540083	46.661635
4991	65828.866373	49.889884	-0.085111	0.541202	48.699798
4993	65830.939702	49.252902	-0.050848	0.550375	45.628929
4995	65833.011760	48.876045	-0.097948	0.555270	44.147143
4997	65835.074489	48.852147	-0.233783	0.545931	42.489858
4999	65837.133824	47.624730	-0.187013	0.531335	42.042353
5001	65839.203977	46.448384	0.035607	0.540854	40.430212
5003	65841.280677	46.449393	-0.111610	0.557401	40.518304
5005	65843.341089	46.447029	-0.254799	0.544103	38.148709
5007	65845.397364	45.143759	-0.146392	0.528094	38.419318
5009	65847.470167	44.291142	0.075954	0.542381	35.919960
5011	65849.545298	44.053944	-0.073890	0.554330	36.344003
5013	65851.605889	44.153812	-0.215173	0.542173	34.478847
5015	65853.662125	43.071776	-0.156407	0.528953	33.903479
5017	65855.728985	42.218427	-0.019216	0.531528	33.440611
5019	65857.803569	41.438541	-0.036849	0.541730	31.207886
5021	65859.875595	41.245311	-0.111864	0.544528	31.135235
5023	65861.941875	40.858987	-0.115226	0.541696	31.023689
5025	65864.006482	40.235525	-0.121725	0.539170	29.910238
5027	65866.070856	39.820053	-0.111647	0.537825	28.899387
5029	65868.135507	39.317134	-0.083664	0.536540	29.536571
5031	65870.201214	38.755195	-0.120292	0.534680	27.539193
5033	65872.269109	38.072761	-0.125715	0.532583	27.115853
5035	65874.337516	37.646908	-0.106300	0.528007	25.720178
5037	65876.403681	37.311320	-0.112945	0.525961	26.595395
5039	65878.463086	36.939568	-0.049747	0.531495	25.453617
5041	65880.518790	36.274688	-0.004046	0.542227	22.187862
5043	65882.579386	35.698904	-0.036295	0.549223	23.283765
5045	65884.652638	35.030437	-0.175257	0.542059	23.398175
5047	65886.730585	34.645862	-0.212026	0.521426	22.689550
