num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1353	59871.479826	54.558658	1.222154	0.561897	96.291774
1355	59873.555175	47.509451	1.100558	0.562931	70.682150
1357	59875.627277	41.230040	1.018671	0.564536	55.574510
1359	59877.699574	35.649941	0.888773	0.563687	39.454523
1361	59879.763000	30.810564	0.779724	0.557954	30.830909
1363	59881.824811	26.488937	0.645283	0.549390	22.019610
1365	59883.882503	22.498905	0.547060	0.538596	15.857059
1367	59885.953682	19.096807	0.484053	0.536764	12.257626
1369	59888.037689	16.123893	0.478546	0.547682	9.539333
1371	59890.131892	13.937209	0.390765	0.570468	6.208775
1373	59892.210857	12.188712	0.266261	0.582288	4.632282
1375	59894.261258	10.740651	0.197889	0.560698	3.147806
1377	59896.284231	6.767418	-0.201486	0.523775	2.900834
