crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.047099	13146	0.000000
281474976710655.000000	1.049335	13147	0.000000
281474976710655.000000	1.112419	13148	0.000000
281474976710655.000000	0.951180	13149	0.000000
281474976710655.000000	1.276999	13150	0.000000
281474976710655.000000	1.047485	13151	0.000000
281474976710655.000000	1.393397	13152	0.000000
281474976710655.000000	1.049043	13153	0.000000
281474976710655.000000	1.461463	13154	0.000000
281474976710655.000000	1.093915	13155	0.000000
281474976710655.000000	1.438313	13156	0.000000
281474976710655.000000	1.192493	13157	0.000000
281474976710655.000000	1.656666	13158	0.000000
281474976710655.000000	1.084870	13159	0.000000
281474976710655.000000	1.946091	13160	0.000000
281474976710655.000000	1.153948	13161	0.000000
281474976710655.000000	1.997582	13162	0.000000
281474976710655.000000	1.341903	13163	0.000000
281474976710655.000000	2.086075	13164	0.000000
281474976710655.000000	1.517618	13165	0.000000
281474976710655.000000	2.174134	13166	0.000000
281474976710655.000000	1.638658	13167	0.000000
281474976710655.000000	2.416179	13168	0.000000
281474976710655.000000	1.850802	13169	0.000000
281474976710655.000000	2.839868	13170	0.000000
281474976710655.000000	1.860747	13171	0.000000
281474976710655.000000	2.918695	13172	0.000000
281474976710655.000000	1.863837	13173	0.000000
281474976710655.000000	3.066689	13174	0.000000
281474976710655.000000	2.005300	13175	0.000000
281474976710655.000000	3.250308	13176	0.000000
281474976710655.000000	2.313667	13177	0.000000
281474976710655.000000	3.393026	13178	0.000000
281474976710655.000000	2.374232	13179	0.000000
281474976710655.000000	4.129388	13180	0.000000
281474976710655.000000	2.534771	13181	0.000000
281474976710655.000000	4.117154	13182	0.000000
281474976710655.000000	2.722347	13183	0.000000
281474976710655.000000	3.683865	13184	0.000000
281474976710655.000000	2.956722	13185	0.000000
281474976710655.000000	3.770172	13186	0.000000
281474976710655.000000	2.978780	13187	0.000000
281474976710655.000000	4.782435	13188	0.000000
281474976710655.000000	3.232780	13189	0.000000
281474976710655.000000	5.201589	13190	0.000000
281474976710655.000000	3.268055	13191	0.000000
281474976710655.000000	5.414801	13192	0.000000
281474976710655.000000	3.915583	13193	0.000000
281474976710655.000000	5.520029	13194	0.000000
281474976710655.000000	3.708020	13195	0.000000
281474976710655.000000	5.873945	13196	0.000000
281474976710655.000000	3.975127	13197	0.000000
281474976710655.000000	5.393194	13198	0.000000
281474976710655.000000	4.132461	13199	0.000000
281474976710655.000000	5.628960	13200	0.000000
281474976710655.000000	4.399855	13201	0.000000
281474976710655.000000	5.583341	13202	0.000000
281474976710655.000000	4.029373	13203	0.000000
281474976710655.000000	6.331142	13204	0.000000
281474976710655.000000	4.608500	13205	0.000000
281474976710655.000000	5.246723	13206	0.000000
281474976710655.000000	5.127095	13207	0.000000
281474976710655.000000	5.978552	13208	0.000000
281474976710655.000000	4.997027	13209	0.000000
281474976710655.000000	5.785402	13210	0.000000
281474976710655.000000	5.187303	13211	0.000000
281474976710655.000000	5.503047	13212	0.000000
281474976710655.000000	5.063810	13213	0.000000
281474976710655.000000	6.201232	13214	0.000000
281474976710655.000000	5.172565	13215	0.000000
281474976710655.000000	6.163774	13216	0.000000
281474976710655.000000	5.269080	13217	0.000000
281474976710655.000000	5.777607	13218	0.000000
281474976710655.000000	5.049593	13219	0.000000
281474976710655.000000	5.693231	13220	0.000000
281474976710655.000000	5.737609	13221	0.000000
281474976710655.000000	5.519106	13222	0.000000
281474976710655.000000	5.120096	13223	0.000000
281474976710655.000000	5.420737	13224	0.000000
281474976710655.000000	4.751843	13225	0.000000
