num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
13145	88079.485298	9.199278	67.383729	-0.909313	0.109628
13147	88081.548064	9.417217	64.912642	-0.905673	1.061461
13149	88083.597740	8.957483	62.863520	-0.900233	0.939927
13151	88085.666429	8.757433	61.888554	-0.903608	0.939839
13153	88087.771219	9.430075	59.992261	-0.896305	0.746094
13155	88089.825291	8.517374	59.066191	-0.896896	0.545965
13157	88091.885298	8.991009	59.194722	-0.901561	0.433447
13159	88093.942306	9.038273	56.503217	-0.895641	1.010603
13161	88096.008491	8.460045	55.243498	5.389456	1.114163
13163	88098.093326	8.715389	54.109848	5.391118	1.266206
13165	88100.171470	8.835668	52.693373	5.393608	0.946751
13167	88102.229261	8.659909	51.720745	5.390742	0.908402
13169	88104.303822	8.536956	50.247543	5.394126	0.701267
13171	88106.360979	8.381330	49.478498	5.394425	0.973434
13173	88108.432677	8.465553	48.198878	5.393979	1.184092
13175	88110.505243	8.694109	46.646655	5.395101	1.830326
13177	88112.579266	8.327972	45.544539	5.401641	2.097833
13179	88114.647501	7.854274	44.906787	5.395506	2.151239
13181	88116.710691	8.406425	43.558048	5.392658	1.947024
13183	88118.782165	8.276986	42.328649	5.400942	2.046373
13185	88120.855637	7.734521	41.395070	5.399667	2.725289
13187	88122.927915	7.773367	40.328376	5.399110	2.916522
13189	88124.997600	7.878251	39.586544	5.399089	2.649486
13193	88129.127207	7.612031	37.474145	5.399329	2.913740
13195	88131.191490	7.408300	36.518446	5.398590	4.017770
13197	88133.269638	7.332975	35.564481	5.401042	3.582285
13199	88135.336774	7.395303	34.801620	5.397882	3.929836
13201	88137.409461	7.301191	33.858641	-0.882780	4.088663
13203	88139.476011	6.798121	33.074766	5.403317	4.294605
13205	88141.545212	6.575507	32.211767	5.401043	3.791510
13207	88143.612347	6.818925	31.458151	5.405145	4.670789
13209	88145.683467	6.762663	30.697202	5.399742	5.176318
13211	88147.749935	6.486271	29.748884	5.405854	5.004590
13213	88149.819416	6.203043	28.991813	5.405923	5.393536
13215	88151.892536	6.095179	28.280161	-0.878460	5.119437
13217	88153.959250	6.046998	27.477878	-0.875632	5.170612
13219	88156.029245	6.011827	26.645206	5.406540	5.442787
13221	88158.102880	5.896465	26.124880	5.413791	5.213778
13223	88160.168330	5.639815	25.443930	5.413056	6.034394
13225	88162.238549	5.328504	24.711385	5.409930	5.045173
13227	88164.311026	5.247193	24.004883	5.403866	5.206183
13229	88166.370940	5.425474	23.374852	5.404938	5.531097
13231	88168.440614	5.406878	22.722494	5.409669	6.165672
13233	88170.520541	5.141410	22.044983	5.412616	4.205162
13235	88172.581631	4.855828	21.553708	5.409859	4.479004
13237	88174.652357	4.744615	20.966244	5.408978	4.150255
13239	88176.721182	4.730730	20.134499	5.412399	5.161530
13241	88178.789466	4.698930	19.412487	5.408864	4.860494
13243	88180.863066	4.582251	19.293051	5.409473	4.339222
13245	88182.925878	4.567622	18.540744	5.407864	4.866123
13247	88185.001303	4.402789	18.221185	5.410136	5.543334
13249	88187.070727	4.152231	17.670945	5.414020	4.234775
13251	88189.134725	3.988529	16.819515	5.408490	4.363125
13253	88191.201641	3.957685	16.450518	5.412292	3.856419
13255	88193.275181	4.048823	16.027459	5.412822	3.845429
13257	88195.341953	4.076130	15.473636	5.402887	3.782369
13259	88197.416977	3.867002	15.382363	5.412203	3.757698
13261	88199.481251	3.751772	14.918950	5.407045	3.306038
13263	88201.560132	3.657512	14.289040	5.410647	2.919923
13265	88203.619131	3.460845	14.144564	5.419994	4.252719
13267	88205.694080	3.371926	13.703799	5.418090	2.463122
13269	88207.761307	3.341344	12.746586	5.421245	3.698778
13271	88209.836671	3.151798	12.896733	5.404860	2.882981
13273	88211.894394	3.056592	12.336204	5.397428	3.274129
13275	88213.957780	3.067883	12.261878	5.394206	2.738021
13277	88216.033277	3.173119	11.450567	5.389998	2.099728
13279	88219.142926	0.206020	0.256947	-0.916821	2.341202
13281	88223.279237	0.007644	0.873744	-0.820420	2.363578
13283	88227.403253	0.054171	-0.847092	2.306360	2.246920
13285	88231.547316	0.040245	0.849216	-0.850699	1.684535
