num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
11559	85481.997249	1.648233	56.755511	2.148529	0.823764
11561	85483.965286	1.438403	55.895494	2.118662	0.114370
11563	85486.031090	1.458938	50.157974	2.119455	1.467942
11565	85488.105261	1.408173	43.623428	2.118481	3.056726
11567	85490.166467	1.316114	38.446908	2.116600	4.587311
11569	85492.231402	1.193657	33.787852	2.116268	5.184464
11571	85494.308614	1.050773	29.468830	2.112593	9.493689
11573	85496.387380	0.919177	25.613062	2.116082	11.033928
11575	85498.457562	0.780573	22.317436	2.109751	9.720878
11577	85500.526742	0.661499	19.439782	2.107423	8.060613
11579	85502.603543	0.590708	16.645347	2.111813	6.694764
11581	85504.682680	0.553791	14.399863	2.109430	4.638139
11583	85506.758306	0.529436	12.377048	2.106858	4.410852
11585	85508.837272	0.489274	10.680067	2.104171	2.530673
11587	85510.902113	0.365663	4.709978	2.129506	1.061387
11589	85515.045265	0.037891	-0.503182	2.055147	1.729470
