num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
11643	85633.755362	30.041190	6.513407	3.964496	7.125102
11647	85637.823314	2.102772	59.034095	2.233491	0.805351
11649	85639.855263	1.783311	56.724264	2.220472	0.864782
11651	85641.929280	1.596993	52.190390	2.219550	1.600995
11653	85643.980301	1.588606	48.600638	2.219045	3.196518
11655	85646.031268	1.651538	44.858048	2.218929	1.420850
11657	85648.107102	1.653276	41.311102	2.219722	4.040494
11659	85650.188302	1.666812	37.809825	2.216885	5.198929
11661	85652.259447	1.641701	34.851829	2.216099	6.268942
11663	85654.325525	1.412454	31.975575	2.217043	7.715575
11665	85656.397180	1.126925	29.296508	2.215709	10.379846
11667	85658.479183	1.170105	26.689532	2.214032	9.482162
11669	85660.554662	1.401536	24.652896	2.213034	9.487988
11671	85662.627266	1.231413	22.408025	2.215585	7.785754
11673	85664.690138	0.890893	20.494308	2.211158	6.072810
11675	85666.772487	0.790874	18.580773	2.210904	4.699354
11677	85668.840266	0.804206	17.068413	2.209452	5.811133
11681	85672.986140	0.746005	14.106767	2.208039	4.020586
11683	85675.043222	0.715090	12.512622	2.205079	3.413889
11685	85677.140389	0.744355	11.748303	2.206007	2.104809
11687	85679.198254	0.752632	10.267630	2.206821	2.429178
11689	85681.281010	0.556748	4.211817	2.280965	1.943852
11691	85685.425311	0.383551	0.059428	5.175720	2.270561
