crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.219431	11647	0.000000
281474976710655.000000	1.011703	11648	0.000000
281474976710655.000000	1.778845	11649	0.000000
281474976710655.000000	1.271383	11650	0.000000
281474976710655.000000	2.711241	11651	0.000000
281474976710655.000000	1.499724	11652	0.000000
281474976710655.000000	2.955685	11653	0.000000
281474976710655.000000	2.290690	11654	0.000000
281474976710655.000000	3.691392	11655	0.000000
281474976710655.000000	2.958534	11656	0.000000
281474976710655.000000	4.657364	11657	0.000000
281474976710655.000000	4.033116	11658	0.000000
281474976710655.000000	6.626397	11659	0.000000
281474976710655.000000	5.212654	11660	0.000000
281474976710655.000000	7.556920	11661	0.000000
281474976710655.000000	5.128995	11662	0.000000
281474976710655.000000	9.685699	11663	0.000000
281474976710655.000000	6.287005	11664	0.000000
281474976710655.000000	9.719960	11665	0.000000
281474976710655.000000	6.211226	11666	0.000000
281474976710655.000000	9.603858	11667	0.000000
281474976710655.000000	6.981768	11668	0.000000
281474976710655.000000	7.820179	11669	0.000000
281474976710655.000000	8.638905	11670	0.000000
281474976710655.000000	6.052910	11671	0.000000
281474976710655.000000	7.661810	11672	0.000000
281474976710655.000000	5.185298	11673	0.000000
281474976710655.000000	7.346547	11674	0.000000
281474976710655.000000	5.776953	11675	0.000000
281474976710655.000000	5.638599	11676	0.000000
281474976710655.000000	5.038452	11677	0.000000
281474976710655.000000	5.214177	11678	0.000000
281474976710655.000000	3.889504	11679	0.000000
281474976710655.000000	4.689299	11680	0.000000
281474976710655.000000	3.195083	11681	0.000000
281474976710655.000000	3.809535	11682	0.000000
281474976710655.000000	2.455907	11683	0.000000
281474976710655.000000	3.534039	11684	0.000000
281474976710655.000000	2.200464	11685	0.000000
281474976710655.000000	2.859590	11686	0.000000
281474976710655.000000	1.639487	11687	0.000000
281474976710655.000000	3.154104	11688	0.000000
281474976710655.000000	2.235402	11689	0.000000
281474976710655.000000	1.989841	11690	0.000000
281474976710655.000000	1.565488	11691	0.000000
281474976710655.000000	0.957573	11692	0.000000
