crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	82.639244	4306	0.000000
281474976710655.000000	63.267883	4307	0.000000
281474976710655.000000	169.889618	4308	0.000000
281474976710655.000000	103.577797	4309	0.000000
281474976710655.000000	88.040520	4310	0.000000
281474976710655.000000	71.579750	4311	0.000000
281474976710655.000000	62.742668	4312	0.000000
281474976710655.000000	46.160934	4313	0.000000
281474976710655.000000	97.685005	4314	0.000000
281474976710655.000000	54.987881	4315	0.000000
281474976710655.000000	94.750961	4316	0.000000
281474976710655.000000	83.235367	4317	0.000000
281474976710655.000000	180.780518	4318	0.000000
281474976710655.000000	81.817360	4319	0.000000
281474976710655.000000	84.954819	4320	0.000000
281474976710655.000000	40.230396	4321	0.000000
281474976710655.000000	81.101097	4322	0.000000
281474976710655.000000	76.232719	4323	0.000000
281474976710655.000000	74.306015	4324	0.000000
281474976710655.000000	70.532967	4325	0.000000
281474976710655.000000	54.794109	4326	0.000000
281474976710655.000000	73.867126	4327	0.000000
281474976710655.000000	68.597214	4328	0.000000
281474976710655.000000	77.756714	4329	0.000000
281474976710655.000000	58.638790	4330	0.000000
281474976710655.000000	76.953270	4331	0.000000
281474976710655.000000	51.563366	4332	0.000000
281474976710655.000000	71.442253	4333	0.000000
281474976710655.000000	66.541451	4334	0.000000
281474976710655.000000	69.016220	4335	0.000000
281474976710655.000000	68.490860	4336	0.000000
281474976710655.000000	64.536644	4337	0.000000
281474976710655.000000	65.323677	4338	0.000000
281474976710655.000000	63.950886	4339	0.000000
281474976710655.000000	65.747543	4340	0.000000
281474976710655.000000	33.032429	4341	0.000000
281474976710655.000000	98.387840	4342	0.000000
281474976710655.000000	69.205177	4343	0.000000
281474976710655.000000	58.173683	4344	0.000000
281474976710655.000000	60.478397	4345	0.000000
281474976710655.000000	60.776356	4346	0.000000
281474976710655.000000	70.646927	4347	0.000000
281474976710655.000000	58.046494	4348	0.000000
281474976710655.000000	29.078630	4349	0.000000
281474976710655.000000	59.688591	4350	0.000000
281474976710655.000000	54.922997	4351	0.000000
281474976710655.000000	54.755062	4352	0.000000
281474976710655.000000	52.515812	4353	0.000000
281474976710655.000000	44.539688	4354	0.000000
281474976710655.000000	93.899345	4355	0.000000
281474976710655.000000	69.670715	4356	0.000000
281474976710655.000000	60.068817	4357	0.000000
281474976710655.000000	49.277969	4358	0.000000
281474976710655.000000	49.199108	4359	0.000000
281474976710655.000000	51.082680	4360	0.000000
281474976710655.000000	66.479050	4361	0.000000
281474976710655.000000	38.943424	4362	0.000000
281474976710655.000000	39.302776	4363	0.000000
281474976710655.000000	34.313011	4364	0.000000
281474976710655.000000	49.598572	4365	0.000000
281474976710655.000000	39.697594	4366	0.000000
281474976710655.000000	58.303211	4367	0.000000
281474976710655.000000	41.778412	4368	0.000000
281474976710655.000000	62.518677	4369	0.000000
281474976710655.000000	38.234230	4370	0.000000
281474976710655.000000	37.409237	4371	0.000000
281474976710655.000000	43.076317	4372	0.000000
281474976710655.000000	37.802097	4373	0.000000
281474976710655.000000	53.557568	4374	0.000000
