crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	126.973335	1784	0.000000
281474976710655.000000	Inf	1785	0.000000
281474976710655.000000	102.456245	1786	0.000000
281474976710655.000000	49.502998	1787	0.000000
281474976710655.000000	94.522964	1788	0.000000
281474976710655.000000	66.477554	1789	0.000000
281474976710655.000000	40.737392	1790	0.000000
281474976710655.000000	73.418571	1791	0.000000
281474976710655.000000	79.123657	1792	0.000000
281474976710655.000000	37.320766	1793	0.000000
281474976710655.000000	43.380093	1794	0.000000
281474976710655.000000	67.226585	1795	0.000000
281474976710655.000000	97.790833	1796	0.000000
281474976710655.000000	53.866325	1797	0.000000
281474976710655.000000	55.086716	1798	0.000000
281474976710655.000000	53.697788	1799	0.000000
281474976710655.000000	65.495140	1800	0.000000
281474976710655.000000	36.884197	1801	0.000000
281474976710655.000000	44.834545	1802	0.000000
281474976710655.000000	40.010441	1803	0.000000
281474976710655.000000	46.219944	1804	0.000000
281474976710655.000000	41.069633	1805	0.000000
281474976710655.000000	31.877510	1806	0.000000
281474976710655.000000	32.963921	1807	0.000000
281474976710655.000000	32.089592	1808	0.000000
281474976710655.000000	25.278641	1809	0.000000
281474976710655.000000	25.905659	1810	0.000000
281474976710655.000000	25.455643	1811	0.000000
281474976710655.000000	19.406944	1812	0.000000
281474976710655.000000	21.975237	1813	0.000000
281474976710655.000000	20.509350	1814	0.000000
281474976710655.000000	19.364069	1815	0.000000
281474976710655.000000	18.253260	1816	0.000000
281474976710655.000000	16.355726	1817	0.000000
281474976710655.000000	15.642997	1818	0.000000
281474976710655.000000	14.189944	1819	0.000000
281474976710655.000000	13.062194	1820	0.000000
281474976710655.000000	12.422826	1821	0.000000
281474976710655.000000	10.996807	1822	0.000000
281474976710655.000000	10.937267	1823	0.000000
281474976710655.000000	10.455686	1824	0.000000
281474976710655.000000	9.561542	1825	0.000000
281474976710655.000000	9.116241	1826	0.000000
281474976710655.000000	8.697905	1827	0.000000
281474976710655.000000	7.850427	1828	0.000000
281474976710655.000000	7.389338	1829	0.000000
281474976710655.000000	6.807714	1830	0.000000
281474976710655.000000	6.290127	1831	0.000000
281474976710655.000000	6.292947	1832	0.000000
281474976710655.000000	5.592036	1833	0.000000
281474976710655.000000	5.112813	1834	0.000000
281474976710655.000000	4.831773	1835	0.000000
281474976710655.000000	4.338878	1836	0.000000
281474976710655.000000	4.128870	1837	0.000000
281474976710655.000000	3.739871	1838	0.000000
281474976710655.000000	3.461725	1839	0.000000
281474976710655.000000	3.162548	1840	0.000000
281474976710655.000000	2.909102	1841	0.000000
281474976710655.000000	2.654780	1842	0.000000
281474976710655.000000	2.445576	1843	0.000000
281474976710655.000000	2.229225	1844	0.000000
281474976710655.000000	2.022170	1845	0.000000
281474976710655.000000	1.503955	1846	0.000000
281474976710655.000000	1.636980	1847	0.000000
281474976710655.000000	1.481269	1848	0.000000
281474976710655.000000	1.365262	1849	0.000000
281474976710655.000000	1.142302	1850	0.000000
281474976710655.000000	0.908445	1851	0.000000
