num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1783	60804.573668	72.334427	-0.715130	3.677498	126.741065
1785	60806.645748	68.847504	-0.643406	3.679262	117.644168
1787	60808.717473	64.891093	-0.640937	3.679565	112.714131
1789	60810.791133	61.690712	-0.620986	3.679583	98.530163
1791	60812.867235	58.228144	-0.650171	3.680266	94.627412
1793	60814.935246	55.088226	-0.613743	3.679894	79.060972
1795	60817.010986	52.103630	-0.618945	3.677659	72.296901
1797	60819.081339	49.096072	-0.573170	3.675930	64.278257
1799	60821.152790	46.191466	-0.554941	3.674397	55.973984
1801	60823.225043	43.493304	-0.532056	3.673972	51.191983
1803	60825.297484	40.902254	-0.510853	3.673753	44.350843
1805	60827.371129	38.442282	-0.492723	3.673765	40.303295
1807	60829.445529	36.230403	-0.462863	3.670695	35.321944
1809	60831.518816	33.791953	-0.445234	3.669394	30.549323
1811	60833.590641	31.927810	-0.429907	3.667766	26.457224
1813	60835.658572	29.989052	-0.395141	3.667437	24.320801
1815	60837.726516	28.238418	-0.394663	3.670875	21.687718
1817	60839.795311	26.094748	-0.395628	3.675815	18.651997
1819	60841.869487	24.459157	-0.390973	3.670227	16.780733
1821	60843.949545	22.822438	-0.350919	3.660700	14.494602
1823	60846.028525	21.578508	-0.296994	3.655559	12.675078
1825	60848.100019	20.045707	-0.273384	3.654664	10.867549
1827	60850.164830	19.044716	-0.264486	3.664007	9.685408
1829	60852.229367	17.635448	-0.279635	3.669724	8.274038
1831	60854.300687	16.457549	-0.280953	3.669023	7.684530
1833	60856.379603	15.169841	-0.267100	3.666133	6.730803
1835	60858.462178	14.338238	-0.229485	3.657772	5.925906
1837	60860.544081	13.366872	-0.187784	3.655877	4.432499
1839	60862.624973	12.416849	-0.169114	3.656723	3.971634
1841	60864.702087	11.869578	-0.139118	3.662990	3.313108
1843	60866.772680	11.054234	-0.136250	3.659481	2.701911
1845	60868.848419	10.114310	-0.143062	3.656261	3.020298
1847	60870.927113	0.466703	-0.088043	0.397803	2.462285
1849	60875.898129	0.129919	0.024296	-1.850185	1.723724
1851	60880.037150	0.506410	-0.030440	3.545995	1.112778
1851	60880.037150	0.506410	-0.030440	3.545995	0.686622
1851	60880.037150	0.506410	-0.030440	3.545995	0.686622
1851	60880.037150	0.506410	-0.030440	3.545995	0.686622
