num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
12037	86241.560452	3.677417	64.855735	-0.909112	0.828697
12039	86243.599275	3.389294	62.667926	-0.924816	0.845297
12041	86245.643195	3.385201	59.597041	-0.930102	0.745478
12043	86247.695289	3.436105	56.636192	-0.931967	0.857110
12045	86249.789211	3.370450	53.688632	-0.929532	1.101334
12047	86251.855231	3.292087	51.218253	-0.930985	1.380994
12049	86253.920378	3.209668	48.389820	5.352941	1.088345
12051	86255.994386	3.147765	45.357910	5.353364	2.317736
12053	86258.067402	2.992408	42.971310	5.353418	2.658336
12055	86260.139371	2.897698	40.551371	5.352899	3.379731
12057	86262.208467	2.810175	38.241085	5.352050	2.961704
12059	86264.275583	2.737075	35.917440	5.351532	3.599103
12061	86266.352566	2.641202	33.545652	5.352201	4.654476
12063	86268.420777	2.545556	31.873528	5.350865	4.654209
12065	86270.490700	2.419605	29.689030	5.347268	5.753557
12067	86272.567221	2.323277	28.033349	5.350261	6.030527
12069	86274.639235	2.216325	26.115614	5.347165	6.134502
12073	86278.782339	2.049562	23.071886	5.349383	7.684251
12075	86280.855838	1.948726	21.500062	5.345905	6.899890
12077	86282.929254	1.874354	20.043719	5.348807	6.293999
12079	86285.000429	1.753597	18.906435	5.346869	6.419054
12081	86287.072861	1.640631	17.678506	5.345647	5.482130
12083	86289.145430	1.515821	16.635260	5.346693	5.653496
12085	86291.215027	1.419744	15.545939	5.342178	4.983880
12087	86293.288385	1.355194	14.425779	5.344320	4.632842
12089	86295.361057	1.302169	13.395669	5.345620	4.063221
12091	86297.434954	1.208529	12.729385	5.343932	4.472915
12093	86299.501275	1.153528	11.756214	5.343724	3.165373
12095	86301.577914	1.072427	11.051414	5.342044	3.173008
12097	86303.648828	0.980200	10.480635	5.345784	2.814226
12099	86306.749267	0.127742	-0.542114	2.153145	2.691452
12101	86310.896906	0.000000	0.535249	5.273658	1.898836
12103	86315.041450	0.063680	-0.265427	2.098598	2.589981
