num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5251	66122.369888	78.911595	-5.650868	3.653423	102.002724
5253	66124.438202	78.432550	-5.653737	3.651609	99.042303
5255	66126.504425	77.585257	-5.558142	3.648654	99.510307
5257	66128.571744	76.738461	-5.564726	3.646847	92.667669
5259	66130.636949	76.171463	-5.491589	3.647250	97.650149
5261	66132.703225	75.635482	-5.453761	3.646746	96.935167
5263	66134.769429	74.979243	-5.477533	3.644608	88.945443
5265	66136.834662	74.282160	-5.437742	3.643060	92.108508
5267	66138.901092	73.750300	-5.447959	3.642341	88.685854
5269	66140.965949	73.080138	-5.411938	3.639994	86.455905
5271	66143.031021	72.436023	-5.382254	3.640471	88.730174
5273	66145.097513	71.855170	-5.340116	3.637120	80.173147
5275	66147.161754	71.373589	-5.328816	3.634545	84.262462
5277	66149.227132	70.555373	-5.302252	3.634045	80.976453
5279	66151.292994	70.246208	-5.305304	3.631243	81.197456
5281	66153.358600	69.078270	-5.263570	3.629853	79.797317
5283	66155.425835	68.525186	-5.243924	3.629452	77.972258
5285	66157.492535	67.394812	-5.244870	3.627311	75.244023
5287	66159.559619	67.026325	-5.183888	3.628583	75.503602
5289	66161.627122	66.476728	-5.194685	3.629858	71.273244
5291	66163.693973	65.973161	-5.184650	3.628820	71.452513
5293	66165.761056	65.238842	-5.128030	3.628031	71.718829
5295	66167.829155	65.100224	-5.121979	3.628034	67.296207
5297	66169.895066	64.285914	-5.095836	3.625397	67.949320
5299	66171.961620	63.714561	-5.086150	3.625550	66.520515
5301	66174.028098	62.896312	-5.028910	3.623858	64.496466
5303	66176.093710	62.519502	-4.989969	3.622340	64.931499
5305	66178.159161	61.946914	-4.977869	3.620478	63.250139
5307	66180.225029	61.430450	-4.968306	3.620258	62.232772
5309	66182.289915	60.679697	-4.939463	3.618397	62.191147
5311	66184.356148	60.383966	-4.920644	3.617367	57.960550
5313	66186.420558	59.579853	-4.887142	3.617063	57.975093
5315	66188.484858	59.007111	-4.862438	3.615923	58.130335
5317	66190.549116	58.349129	-4.838912	3.616640	55.533249
5319	66192.613233	57.777706	-4.811537	3.615238	55.758360
5321	66194.677144	57.318226	-4.815146	3.614156	53.792159
5323	66196.741886	56.811343	-4.777684	3.613260	51.121504
5325	66198.806220	56.064673	-4.755135	3.612173	51.733580
5327	66200.871477	55.720015	-4.717366	3.611526	50.747747
5329	66202.936840	54.961975	-4.700846	3.611912	51.089500
5331	66205.003653	54.512677	-4.632518	3.611302	49.888790
5333	66207.069771	53.834249	-4.631940	3.609458	49.554060
5335	66209.135740	53.519593	-4.599367	3.609206	48.143849
5337	66211.202587	52.975735	-4.570512	3.608427	47.214022
5339	66213.269077	52.322033	-4.519153	3.607558	44.090935
5341	66215.334596	51.860563	-4.520682	3.606730	44.408510
5343	66217.400674	51.343157	-4.468927	3.605137	44.247597
5345	66219.466314	50.778306	-4.468058	3.604369	42.352112
5347	66221.531932	50.258532	-4.454807	3.603286	42.532144
5349	66223.597090	49.561981	-4.413824	3.600506	41.685683
5351	66225.661752	49.342779	-4.428118	3.600589	41.640861
5353	66227.726859	48.772376	-4.371700	3.598831	39.849873
5355	66229.791030	48.341321	-4.339530	3.596634	39.427661
5357	66231.856782	47.906643	-4.308071	3.595668	38.085569
5359	66233.921098	47.278743	-4.307339	3.594337	37.023642
5361	66235.987017	46.781265	-4.267335	3.592513	38.297410
5363	66238.053870	46.391251	-4.251941	3.592100	36.797840
5365	66240.118744	45.882351	-4.234087	3.591660	36.806703
5367	66242.185309	45.373092	-4.213414	3.591619	35.243804
5369	66244.251991	45.029372	-4.182063	3.591127	33.048202
5371	66246.319146	44.294972	-4.153325	3.592086	32.629230
5373	66248.386201	43.858977	-4.124460	3.592480	32.186753
5375	66250.453546	43.616516	-4.105989	3.592697	31.631521
5377	66252.520412	43.226076	-4.087821	3.592929	30.787916
5379	66254.587109	42.455986	-4.058544	3.592213	30.732366
5381	66256.653768	42.415270	-4.007507	3.591249	29.894731
5383	66258.719778	41.773064	-4.011207	3.590027	28.942861
5385	66260.786046	41.297327	-3.973325	3.588559	30.079848
5387	66262.851246	41.021614	-3.951516	3.588089	27.720643
5389	66264.916244	40.590719	-3.912775	3.586551	26.735073
5391	66266.981523	40.194989	-3.882728	3.585087	27.645664
5393	66269.046594	39.899271	-3.864489	3.585961	27.009154
5395	66271.110548	39.450578	-3.818675	3.584521	26.133156
5397	66273.175261	39.117750	-3.797045	3.583690	25.044335
5399	66275.238823	38.553717	-3.779677	3.582365	24.612392
5401	66277.302390	38.197778	-3.754829	3.581166	24.457439
5403	66279.365817	37.779979	-3.736634	3.581542	23.685856
5405	66281.430309	37.424026	-3.687717	3.580134	24.010492
5407	66283.494638	37.115064	-3.657136	3.579128	23.683976
5409	66285.559116	36.621348	-3.623118	3.578926	23.225549
5411	66287.623337	36.295746	-3.592533	3.576978	22.182840
5413	66289.689784	35.998608	-3.553348	3.577777	22.153460
5415	66291.755363	35.616267	-3.519025	3.576803	21.906242
5417	66293.821027	35.122202	-3.514769	3.576188	21.432345
5419	66295.887397	34.571857	-3.476291	3.573919	20.328311
5421	66297.952981	34.455777	-3.423449	3.574838	20.337315
5423	66300.018766	33.992765	-3.408300	3.572449	19.979387
5425	66302.085459	33.700572	-3.367707	3.573282	20.022350
5427	66304.150804	33.283544	-3.335718	3.571650	19.688729
5429	66306.215340	33.048632	-3.302367	3.571111	19.102822
5431	66308.280377	32.710809	-3.258953	3.570439	18.432468
5433	66310.345064	32.309671	-3.227182	3.567910	17.591873
5435	66312.410201	32.018487	-3.207875	3.567345	17.639593
5437	66314.475624	31.589267	-3.187073	3.565769	17.455803
5439	66316.539646	31.313748	-3.150995	3.564330	16.323020
5441	66318.605711	30.735466	-3.142753	3.565786	16.005061
