num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
11071	83622.577133	0.655118	0.945669	3.027822	1.468688
11073	83624.493322	0.000000	52.346564	2.164552	0.804837
11075	83626.507200	0.000000	38.855310	2.160532	3.019527
11077	83628.577959	0.000000	27.725180	2.161976	9.979437
11079	83630.661884	0.397779	-19.100601	-0.980588	11.922123
11081	83632.744427	0.415946	-11.940305	-0.970746	6.781220
11083	83634.827685	0.227161	-4.320956	-1.018673	3.207010
11083	83634.827685	0.226698	-4.320034	-1.018631	1.937735
