num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
11105	83727.463316	13.152018	-0.531261	3.937023	14.458039
11107	83739.901306	2.782204	59.487631	5.424411	2.000658
11109	83741.875253	2.559286	53.370593	5.397061	0.418557
11111	83743.946635	2.417435	45.384843	5.398804	0.845877
11113	83746.020425	1.678439	37.643197	5.398133	2.864824
11115	83748.092134	1.315270	30.368816	5.394404	5.180328
11117	83750.169780	1.298761	24.844293	5.392295	7.405643
11119	83752.247178	1.172658	19.611605	5.388905	9.331133
11121	83754.326912	0.948854	15.287260	5.385444	7.378422
11123	83756.402428	0.706504	12.478189	-0.900649	5.916688
11125	83758.480276	0.529160	9.794439	5.378350	4.943907
11127	83761.600018	0.000000	0.389477	5.080756	1.669269
11127	83761.600018	0.000000	0.389477	5.080756	2.567370
