crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.588922	11174	0.000000
281474976710655.000000	1.166326	11175	0.000000
281474976710655.000000	1.219101	11176	0.000000
281474976710655.000000	1.154256	11177	0.000000
281474976710655.000000	1.127693	11178	0.000000
281474976710655.000000	2.536069	11179	0.000000
281474976710655.000000	2.495591	11180	0.000000
281474976710655.000000	5.478946	11181	0.000000
281474976710655.000000	5.142278	11182	0.000000
281474976710655.000000	8.735597	11183	0.000000
281474976710655.000000	8.639597	11184	0.000000
281474976710655.000000	9.854240	11185	0.000000
281474976710655.000000	9.104840	11186	0.000000
281474976710655.000000	7.878314	11187	0.000000
281474976710655.000000	8.176236	11188	0.000000
281474976710655.000000	5.439319	11189	0.000000
281474976710655.000000	6.209817	11190	0.000000
281474976710655.000000	3.787169	11191	0.000000
281474976710655.000000	4.560276	11192	0.000000
281474976710655.000000	2.009917	11193	0.000000
281474976710655.000000	3.008229	11194	0.000000
281474976710655.000000	2.431458	11195	0.000000
