crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	97.967789	3521	0.000000
281474976710655.000000	101.677895	3522	0.000000
281474976710655.000000	106.670898	3523	0.000000
281474976710655.000000	104.330299	3524	0.000000
281474976710655.000000	92.434669	3525	0.000000
281474976710655.000000	97.420654	3526	0.000000
281474976710655.000000	99.638878	3527	0.000000
281474976710655.000000	98.390945	3528	0.000000
281474976710655.000000	91.512573	3529	0.000000
281474976710655.000000	90.250900	3530	0.000000
281474976710655.000000	87.171234	3531	0.000000
281474976710655.000000	89.736031	3532	0.000000
281474976710655.000000	88.017952	3533	0.000000
281474976710655.000000	90.308113	3534	0.000000
281474976710655.000000	186.222366	3535	0.000000
281474976710655.000000	86.980499	3536	0.000000
281474976710655.000000	83.368736	3537	0.000000
281474976710655.000000	82.096573	3538	0.000000
281474976710655.000000	41.890888	3539	0.000000
281474976710655.000000	170.441025	3540	0.000000
281474976710655.000000	81.815033	3541	0.000000
281474976710655.000000	73.316574	3542	0.000000
281474976710655.000000	78.212334	3543	0.000000
281474976710655.000000	71.998634	3544	0.000000
281474976710655.000000	73.323013	3545	0.000000
281474976710655.000000	74.736534	3546	0.000000
281474976710655.000000	34.304981	3547	0.000000
281474976710655.000000	158.610214	3548	0.000000
281474976710655.000000	72.879547	3549	0.000000
281474976710655.000000	68.498032	3550	0.000000
281474976710655.000000	69.848679	3551	0.000000
281474976710655.000000	68.097313	3552	0.000000
281474976710655.000000	107.271095	3553	0.000000
281474976710655.000000	112.518166	3554	0.000000
281474976710655.000000	132.924545	3555	0.000000
281474976710655.000000	42.863258	3556	0.000000
281474976710655.000000	64.143944	3557	0.000000
281474976710655.000000	38.112591	3558	0.000000
281474976710655.000000	62.344154	3559	0.000000
281474976710655.000000	62.445732	3560	0.000000
281474976710655.000000	56.688885	3561	0.000000
281474976710655.000000	40.705814	3562	0.000000
281474976710655.000000	42.914295	3563	0.000000
281474976710655.000000	42.482414	3564	0.000000
281474976710655.000000	62.586655	3565	0.000000
281474976710655.000000	76.698051	3566	0.000000
281474976710655.000000	54.261272	3567	0.000000
281474976710655.000000	41.613861	3568	0.000000
281474976710655.000000	51.736141	3569	0.000000
281474976710655.000000	51.565285	3570	0.000000
281474976710655.000000	49.994507	3571	0.000000
281474976710655.000000	50.611603	3572	0.000000
281474976710655.000000	55.854759	3573	0.000000
281474976710655.000000	40.879765	3574	0.000000
281474976710655.000000	47.742744	3575	0.000000
281474976710655.000000	39.767773	3576	0.000000
281474976710655.000000	34.320618	3577	0.000000
281474976710655.000000	42.624905	3578	0.000000
281474976710655.000000	55.898563	3579	0.000000
281474976710655.000000	43.340801	3580	0.000000
281474976710655.000000	34.764126	3581	0.000000
281474976710655.000000	49.076607	3582	0.000000
281474976710655.000000	47.372868	3583	0.000000
281474976710655.000000	33.530075	3584	0.000000
281474976710655.000000	51.007900	3585	0.000000
281474976710655.000000	39.088600	3586	0.000000
281474976710655.000000	40.930016	3587	0.000000
281474976710655.000000	44.289371	3588	0.000000
281474976710655.000000	40.156647	3589	0.000000
281474976710655.000000	37.621616	3590	0.000000
281474976710655.000000	32.431450	3591	0.000000
281474976710655.000000	34.096535	3592	0.000000
281474976710655.000000	29.450216	3593	0.000000
281474976710655.000000	35.186134	3594	0.000000
281474976710655.000000	42.548805	3595	0.000000
281474976710655.000000	29.009262	3596	0.000000
281474976710655.000000	27.202028	3597	0.000000
281474976710655.000000	30.578499	3598	0.000000
281474976710655.000000	25.124037	3599	0.000000
281474976710655.000000	26.581514	3600	0.000000
281474976710655.000000	33.300831	3601	0.000000
281474976710655.000000	27.935026	3602	0.000000
281474976710655.000000	31.139212	3603	0.000000
281474976710655.000000	30.239443	3604	0.000000
281474976710655.000000	29.869728	3605	0.000000
281474976710655.000000	28.212418	3606	0.000000
281474976710655.000000	30.563360	3607	0.000000
281474976710655.000000	24.623899	3608	0.000000
281474976710655.000000	27.659252	3609	0.000000
281474976710655.000000	24.200651	3610	0.000000
281474976710655.000000	25.645622	3611	0.000000
281474976710655.000000	21.792328	3612	0.000000
281474976710655.000000	26.321238	3613	0.000000
281474976710655.000000	24.915718	3614	0.000000
281474976710655.000000	22.745577	3615	0.000000
281474976710655.000000	22.556629	3616	0.000000
281474976710655.000000	22.448708	3617	0.000000
281474976710655.000000	24.261265	3618	0.000000
281474976710655.000000	21.465235	3619	0.000000
281474976710655.000000	21.926369	3620	0.000000
281474976710655.000000	18.756132	3621	0.000000
281474976710655.000000	21.260176	3622	0.000000
281474976710655.000000	21.106611	3623	0.000000
281474976710655.000000	19.774126	3624	0.000000
281474976710655.000000	20.943289	3625	0.000000
281474976710655.000000	19.295927	3626	0.000000
281474976710655.000000	18.747969	3627	0.000000
281474976710655.000000	17.356323	3628	0.000000
281474976710655.000000	18.055498	3629	0.000000
281474976710655.000000	18.859665	3630	0.000000
281474976710655.000000	17.729389	3631	0.000000
281474976710655.000000	18.745014	3632	0.000000
281474976710655.000000	16.398142	3633	0.000000
281474976710655.000000	17.176781	3634	0.000000
