num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
13299	88279.681659	5.751604	67.946141	2.150261	0.876755
13301	88281.753400	5.951360	66.126256	2.153538	0.932382
13303	88283.783297	5.497820	66.887616	2.121147	0.953200
13305	88285.815411	5.208910	66.929139	2.110257	0.715723
13307	88287.945273	5.573218	62.793042	2.138349	0.826147
13309	88289.987304	5.533683	62.813042	2.120152	1.613545
13311	88292.053315	5.313039	61.517913	2.120681	1.605248
13313	88294.101312	4.922288	60.292669	2.110019	0.997856
13315	88296.162694	5.511192	59.197458	2.107947	0.038050
13317	88298.205279	5.339494	57.460959	2.112095	2.015548
13319	88300.301201	4.826772	55.990632	2.109994	1.749547
13321	88302.379264	5.314606	55.001508	2.111203	1.917176
13323	88304.429246	5.423730	53.695473	2.112726	1.337289
13325	88306.496626	5.215160	52.331691	2.112922	1.424844
13327	88308.570832	5.114598	51.032543	2.113431	2.371160
13329	88310.647275	5.132786	50.114501	2.113156	2.546395
13331	88312.712814	5.132215	48.748264	2.115361	2.305878
13333	88314.777862	4.984343	47.417012	2.115759	2.843343
13335	88316.851808	4.809286	46.208935	2.116044	2.769412
13337	88318.911290	5.105845	45.146563	2.112425	3.037382
13339	88320.983257	5.321154	43.902736	2.116087	3.721101
13341	88323.055333	4.904775	42.985322	2.118196	3.883983
13343	88325.121089	4.640212	42.057174	2.115554	3.957115
13345	88327.187073	4.907421	40.924860	2.113713	3.916659
13347	88329.261264	5.030137	39.934891	2.115808	4.273815
13349	88331.331166	4.873285	38.934724	2.116971	4.748496
13351	88333.402651	4.725691	38.015705	2.117932	4.988570
13353	88335.470964	4.636011	36.987058	2.115821	4.907381
13355	88337.535924	4.537718	36.225308	2.118722	5.385942
13357	88339.607264	4.373571	35.310918	2.116085	5.645471
13359	88341.675300	4.232481	34.290809	2.115767	5.660655
13361	88343.744655	4.316137	33.424945	2.114730	6.395686
13363	88345.816240	4.521814	32.514481	2.115312	5.899740
13365	88347.877785	4.357816	31.728306	2.117375	6.353843
13367	88349.954189	3.987434	30.850507	2.117931	6.118944
13369	88352.021361	3.871011	30.051450	2.116773	6.231690
13371	88354.088690	3.956927	29.314786	2.119246	6.267678
13373	88356.159247	3.973350	28.631591	2.118129	6.468360
13375	88358.226343	3.903026	27.764166	2.121795	5.944695
13377	88360.295213	3.768310	27.047321	2.118589	6.304870
13379	88362.367403	3.643693	26.408384	2.117946	6.076266
13381	88364.432675	3.586575	25.693559	2.119575	6.504530
13383	88366.504529	3.632980	24.882923	2.117727	6.220333
13385	88368.571295	3.696472	24.117941	2.115954	5.642189
13387	88370.637782	3.542346	23.613253	2.119666	6.259177
13389	88372.714381	3.251098	23.003275	2.123630	4.085862
13391	88374.779395	3.076003	22.404413	2.121974	5.545254
13393	88376.850450	3.101086	21.555682	2.112331	4.294429
13395	88378.914085	3.142096	21.198120	2.118547	4.815203
13397	88380.984955	3.122191	20.508777	2.116329	4.472167
13399	88383.053027	3.020859	20.106322	2.118070	4.863118
13401	88385.124232	2.915640	19.432593	2.115487	4.656410
13403	88387.197781	2.809792	18.888995	2.112323	4.657717
