crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	115.419449	1555	0.000000
281474976710655.000000	106.743996	1556	0.000000
281474976710655.000000	111.342789	1557	0.000000
281474976710655.000000	92.519218	1558	0.000000
281474976710655.000000	170.318192	1559	0.000000
281474976710655.000000	81.440437	1560	0.000000
281474976710655.000000	37.269802	1561	0.000000
281474976710655.000000	66.340279	1562	0.000000
281474976710655.000000	99.109962	1563	0.000000
281474976710655.000000	45.439320	1564	0.000000
281474976710655.000000	45.527023	1565	0.000000
281474976710655.000000	45.900234	1566	0.000000
281474976710655.000000	39.141487	1567	0.000000
281474976710655.000000	31.316759	1568	0.000000
281474976710655.000000	34.536068	1569	0.000000
281474976710655.000000	35.510098	1570	0.000000
281474976710655.000000	26.298100	1571	0.000000
281474976710655.000000	24.851086	1572	0.000000
281474976710655.000000	22.246023	1573	0.000000
281474976710655.000000	19.595581	1574	0.000000
281474976710655.000000	21.673872	1575	0.000000
281474976710655.000000	17.741764	1576	0.000000
281474976710655.000000	15.806167	1577	0.000000
281474976710655.000000	14.292471	1578	0.000000
281474976710655.000000	12.025956	1579	0.000000
281474976710655.000000	10.953765	1580	0.000000
281474976710655.000000	10.485263	1581	0.000000
281474976710655.000000	9.560509	1582	0.000000
281474976710655.000000	8.425534	1583	0.000000
281474976710655.000000	7.631966	1584	0.000000
281474976710655.000000	7.025743	1585	0.000000
281474976710655.000000	6.307707	1586	0.000000
281474976710655.000000	5.381670	1587	0.000000
281474976710655.000000	5.006831	1588	0.000000
281474976710655.000000	4.427118	1589	0.000000
281474976710655.000000	4.076059	1590	0.000000
281474976710655.000000	3.457632	1591	0.000000
281474976710655.000000	3.193257	1592	0.000000
281474976710655.000000	2.661773	1593	0.000000
281474976710655.000000	2.431180	1594	0.000000
281474976710655.000000	1.836398	1595	0.000000
281474976710655.000000	1.508918	1596	0.000000
281474976710655.000000	1.320678	1597	0.000000
281474976710655.000000	1.122443	1598	0.000000
281474976710655.000000	1.002646	1599	0.000000
281474976710655.000000	0.799999	1600	0.000000
