num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
12981	87776.061220	4.847573	70.947403	-0.977628	0.747035
12983	87778.121301	4.782539	69.613007	-0.981390	0.587625
12985	87780.183357	4.753452	66.857622	-0.977725	0.504570
12987	87782.249316	4.751157	65.416627	-0.979704	0.449784
12989	87784.339987	4.785885	63.956477	-0.980163	0.098518
12991	87786.391413	4.788858	61.232464	-0.978156	0.513065
12993	87788.485158	4.770243	59.504629	-0.975851	0.291598
12995	87790.551925	4.781637	58.287808	-0.977863	0.516306
12997	87792.622687	4.707640	56.423201	-0.976110	0.659880
12999	87794.683267	4.654587	54.863249	-0.977207	0.400551
13001	87796.751324	4.637083	52.901833	-0.975148	0.696907
13003	87798.826171	4.585747	51.608025	-0.975951	1.058992
13005	87800.890413	4.544681	49.970611	5.308192	0.765315
13007	87802.962356	4.519986	48.040577	5.309096	1.447284
13009	87805.032142	4.435926	46.601443	5.308746	1.554525
13011	87807.102065	4.392182	45.307942	5.309878	1.664932
13013	87809.168315	4.335927	43.864873	5.309225	1.926491
13015	87811.239806	4.287543	42.303254	5.309556	2.370717
13017	87813.313646	4.271316	40.973550	5.308902	2.495445
13019	87815.380959	4.226312	39.715392	5.310373	2.391584
13021	87817.451235	4.200453	38.266881	5.309940	3.437868
13023	87819.524593	4.113212	37.045360	5.310253	3.606606
13025	87821.591809	4.044834	35.744279	5.310357	3.682697
13027	87823.663293	3.894958	34.709931	5.308199	4.023503
13029	87825.728065	3.855833	33.702357	5.311047	4.931928
13031	87827.812146	3.744510	32.557557	5.312789	5.138316
13035	87831.935268	3.593172	30.482989	5.313053	4.891812
13037	87834.013324	3.521778	29.420487	5.310594	5.609054
13039	87836.081634	3.477092	28.167107	5.307460	5.819699
13041	87838.154085	3.395730	27.280194	5.308935	4.378343
13043	87840.218368	3.305561	26.340356	5.309145	5.413924
13045	87842.294782	3.199604	25.464217	5.307843	5.532862
13047	87844.359287	3.103348	24.557972	5.306801	5.393902
13049	87846.439852	2.992237	23.677535	5.310317	5.133959
13051	87848.502336	2.875795	22.830181	5.310627	7.011645
13053	87850.579184	2.844404	21.542401	5.305527	6.127984
13055	87852.642299	2.698973	21.350088	5.309550	3.984203
13057	87854.734469	2.621931	20.416539	5.313585	3.671925
13059	87856.781784	2.506858	19.905557	5.308751	7.270598
13061	87858.853366	2.443860	19.044568	5.308323	5.359371
13063	87860.923569	2.371558	18.464933	5.309682	5.515781
13065	87862.991321	2.335758	17.668003	5.308786	4.811101
13067	87865.088693	2.288524	17.018676	5.311068	5.169713
13069	87867.124402	2.260487	16.317935	5.316323	6.372085
13071	87869.203585	2.199918	15.599836	5.306614	3.878581
13073	87871.273451	2.167592	14.842205	5.319346	4.334099
13075	87873.353359	2.037324	14.852828	5.311258	5.286847
13077	87875.404297	1.984933	14.061945	5.308384	4.298179
13079	87877.485261	1.936825	13.474880	5.311525	3.806569
13081	87879.552184	1.881551	13.098926	5.306922	3.746107
13083	87881.624476	1.814842	12.766076	-0.974016	3.056872
13085	87883.688945	1.791030	12.134495	-0.975732	3.409482
13087	87885.766782	1.751761	11.849528	-0.977076	3.012182
13089	87887.825328	1.704342	11.381857	-0.978056	2.960346
13091	87890.940642	0.099719	0.902142	-1.018993	2.427380
13093	87895.076724	0.037160	0.621817	-1.002476	2.483509
13095	87899.211529	0.007957	-0.870818	2.184304	2.260292
13097	87903.364535	0.066947	-0.583285	2.147840	1.105298
13099	87907.496903	0.093689	-0.438312	2.176800	1.770674
13101	87911.633257	0.051587	-0.643912	2.132586	2.443267
